1,564
2,452
3,679
4,192
5,18
6,187
7,90
8,357
9,507
10,70
11,460
12,2588
13,169
14,196
15,350
16,153
17,1618
18,63
19,43
20,153
21,27
22,43
23,220
24,18
25,373
26,806
27,93
28,203
29,767
30,510
31,226
32,4608
33,1327
34,50
35,158
36,743
37,604
38,815
39,18
40,1067
41,36
42,351
43,27
44,102
45,167
46,254
47,63
48,72
49,109
50,307
51,1004
52,104
53,531
54,36
55,27
56,162
57,9
58,394
59,412
60,0
61,116
62,666
63,335
64,222
65,135
66,1117
67,9
68,877
69,561
70,387
71,307
72,469
73,61
74,451
75,179
76,1029
77,1100
78,154
79,108
80,115
81,466
82,45
83,18
84,81
85,18
86,478
87,844
88,59
89,138
90,253
91,723
92,111
93,168
94,170
95,181
96,340
97,126
98,395
99,131
100,1094
101,315
102,342
103,36
104,25
105,350
106,725
107,63
108,199
109,0
110,214
111,712
112,180
113,54
114,832
115,108
116,190
117,144
118,338
119,384
120,858
121,612
122,1329
123,2249
124,99
125,1589
126,194
127,733
128,135
129,156
130,106
131,492
132,99
133,185
134,514
135,423
136,451
137,232
138,34
139,234
140,1000
141,162
142,45
143,2421
144,770
145,241
146,63
147,52
148,34
149,1179
150,90
151,52
152,525
153,113
154,659
155,63
156,154
157,337
158,131
159,125
160,234
161,716
162,124
163,423
164,81
165,54
166,138
167,1238
168,604
169,34
170,528
171,151
172,546
173,90
174,424
175,126
176,535
177,422
178,371
179,72
180,75
181,1034
182,189
183,414
184,2142
185,162
186,833
187,201
188,54
189,86
190,16
191,206
192,317
193,45
194,810
195,81
196,2258
197,50
198,529
199,352
200,280
201,224
202,223
203,125
204,287
205,644
206,231
207,151
208,421
209,486
210,90
211,122
212,45
213,27
214,72
215,909
216,767
217,901
218,250
219,324
220,18
221,228
222,9
223,143
224,479
225,261
226,34
227,9
228,27
229,141
230,93
231,27
232,773
233,552
234,500
235,43
236,232
237,91
238,43
239,419
240,63
241,88
242,427
243,222
244,924
245,277
246,453
247,52
248,824
249,9
250,9
251,1501
252,144
253,158
254,27
255,90
256,1869
257,18
258,36
259,481
260,835
261,70
262,461
263,52
264,93
265,1047
266,426
267,18
268,212
269,124
270,1670
271,152
272,614
273,54
274,143
275,180
276,0
277,54
278,232
279,9
280,812
281,231
282,43
283,97
284,144
285,648
286,254
287,43
288,636
289,444
290,52
291,247
292,736
293,268
294,118
295,1299
296,52
297,1114
298,165
299,63
300,59
301,219
302,1568
303,25
304,974
305,453
306,733
307,398
308,124
309,86
310,291
311,1449
312,36
313,72
314,0
315,306
316,25
317,1067
318,18
319,664
320,439
321,1159
322,117
323,36
324,63
325,1934
326,36
327,102
328,189
329,99
330,530
331,36
332,2291
333,956
334,45
335,54
336,499
337,159
338,9
339,70
340,18
341,18
342,904
343,177
344,283
345,472
346,286
347,1049
348,111
349,270
350,150
351,271
352,0
353,696
354,50
355,556
356,115
357,75
358,198
359,18
360,32
361,52
362,172
363,89
364,1009
365,1582
366,316
367,2683
368,127
369,542
370,480
371,9
372,27
373,131
374,962
375,79
376,541
377,36
378,52
379,95
380,141
381,875
382,151
383,129
384,792
385,162
386,124
387,459
388,95
389,100
390,1061
391,243
392,768
393,1079
394,90
395,79
396,1428
397,52
398,2801
399,2389
400,99
401,537
402,417
