"ACTION","REWARD","A0","A1","A2","V"
"0","-0.0001","0.0144314","0.0135727","-0.0197346","-0.0810103"
"1","-0.0002","0.00293838","0.0308771","-0.0296787","-0.00533793"
"0","-0.00030000000000000003","0.011408","0.0084767","-0.0149646","-0.086518"
"1","-0.0004","0.00429842","0.0262746","-0.0200539","-0.0572218"
"2","-0.0005","0.0109275","0.0113801","-0.010276","-0.0984497"
"1","-0.0006000000000000001","0.00219561","0.017513","-0.00196833","-0.0998515"
"0","-0.0007000000000000001","0.0102872","0.00814577","0.000299524","-0.108772"
"0","-0.0008000000000000001","0.0068849","0.0137073","-0.00471622","-0.0975167"
"0","-0.0009000000000000002","0.00801073","0.0101074","-0.00374491","-0.096326"
"1","-0.0010000000000000002","0.00626758","0.0123572","-0.00398995","-0.092242"
"0","-0.0011000000000000003","0.00711295","0.010347","-0.00167787","-0.0934101"
"1","-0.0012000000000000003","0.00684458","0.0117955","-0.00140346","-0.0946364"
"0","-0.0013000000000000004","0.0069281","0.011608","-0.00101453","-0.0949198"
"1","-0.0014000000000000004","0.00704055","0.012023","-0.00161091","-0.0944951"
"1","-0.0015000000000000005","0.00688299","0.0119405","-0.00162266","-0.0938528"
"0","-0.0016000000000000005","0.00684157","0.0119624","-0.00172624","-0.0937558"
"2","-0.0017000000000000006","0.00676926","0.0119742","-0.00159025","-0.0935854"
"0","-0.0018000000000000006","0.0067983","0.0120226","-0.00150156","-0.0939584"
"0","-0.0019000000000000006","0.00672041","0.0121237","-0.00142669","-0.0938568"
"1","-0.0020000000000000005","0.0067884","0.0121282","-0.00142524","-0.0940329"
"2","-0.0021000000000000003","0.00676669","0.012205","-0.00144271","-0.0938621"
"0","-0.0022","0.00681709","0.0121806","-0.00143599","-0.0939117"
"0","-0.0023","0.00680517","0.0122321","-0.00144039","-0.0938326"
"0","-0.0024","0.00681631","0.0122227","-0.0014148","-0.0938846"
"0","-0.0024999999999999996","0.00680337","0.0122552","-0.00141182","-0.0938651"
"0","-0.0025999999999999994","0.00680545","0.0122524","-0.00139522","-0.0938976"
"2","-0.0026999999999999993","0.00680317","0.0122688","-0.00139646","-0.0938851"
"1","-0.002799999999999999","0.0067612","0.0122412","-0.00135837","-0.093809"
"0","-0.002899999999999999","0.00677769","0.011975","-0.00120522","-0.0938452"
"0","-0.0029999999999999988","0.00738728","0.012269","-0.00212676","-0.0938656"
"1","-0.0030999999999999986","0.00679683","0.0124506","-0.00199375","-0.0948507"
"1","-0.0031999999999999984","0.00693647","0.0126055","-0.00259867","-0.0944213"
"2","-0.0032999999999999982","0.00705761","0.0127558","-0.00314489","-0.0946728"
"1","-0.003399999999999998","0.00619874","0.0128443","-0.00257276","-0.0942109"
"1","-0.003499999999999998","0.00740664","0.0121748","-0.00335586","-0.0951628"
"2","-0.0035999999999999977","0.00581999","0.0130184","-0.00271419","-0.0942497"
"0","-0.0036999999999999976","0.00689438","0.0118892","-0.00281249","-0.0947591"
"0","-0.0037999999999999974","0.0065099","0.0127248","-0.0030415","-0.0948478"
"0","-0.0038999999999999972","0.00660091","0.0124596","-0.00282866","-0.0946593"
"1","-0.0039999999999999975","0.00659552","0.0125152","-0.00288238","-0.0948803"
"2","-0.004099999999999998","0.00663735","0.0124889","-0.00286098","-0.0946965"
"0","-0.004199999999999998","0.00662325","0.0124991","-0.0028378","-0.0948888"
"2","-0.004299999999999998","0.00678753","0.0125429","-0.00286631","-0.0949123"
"1","-0.0043999999999999985","0.00675401","0.0126506","-0.00280257","-0.0945539"
"2","-0.004499999999999999","0.00771639","0.0123159","-0.00357444","-0.0950988"
"0","-0.004599999999999999","0.0063037","0.0130997","-0.00294864","-0.0948011"
"1","-0.004699999999999999","0.00773412","0.012456","-0.00386295","-0.0949886"
"1","-0.0048","0.00591294","0.0132262","-0.00278567","-0.0946439"
"1","-0.0049","0.00729614","0.0124549","-0.00318613","-0.0945793"
"1","-0.005","0.00660581","0.012895","-0.00280372","-0.0943413"
"2","-0.0051","0.00676583","0.0120193","-0.00234349","-0.0944012"
"0","-0.005200000000000001","0.00578463","0.0124454","-0.00203063","-0.0945789"
"1","-0.005300000000000001","0.00734631","0.0118634","-0.00267874","-0.0940297"
"0","-0.005400000000000001","0.00655598","0.0123531","-0.00218741","-0.0952127"
"1","-0.005500000000000001","0.00602121","0.0122578","-0.00197925","-0.094221"
"2","-0.005600000000000002","0.00654881","0.0117784","-0.00213362","-0.0943457"
"0","-0.005700000000000002","0.00627049","0.0119201","-0.00194013","-0.0942946"
"0","-0.005800000000000002","0.00847223","0.0121036","-0.0040558","-0.0952526"
"0","-0.0059000000000000025","0.00505668","0.0124078","-0.00151663","-0.0949855"
"0","-0.006000000000000003","0.0069881","0.0119971","-0.00305315","-0.0945748"
"1","-0.006100000000000003","0.00585088","0.0123999","-0.00242599","-0.0942649"
"2","-0.006200000000000003","0.00681443","0.0117871","-0.00272625","-0.09492"
"1","-0.0063000000000000035","0.0064549","0.0123837","-0.00255722","-0.0950373"
"1","-0.006400000000000004","0.0061517","0.0122889","-0.00262986","-0.095558"
"1","-0.006500000000000004","0.00872594","0.0123114","-0.00504431","-0.0964343"
"0","-0.006600000000000004","0.00589254","0.0129421","-0.00304241","-0.0937838"
"2","-0.0067000000000000046","0.00760649","0.0122962","-0.00412913","-0.0974811"
"1","-0.006800000000000005","0.00643277","0.0132785","-0.00411517","-0.0942785"
"1","-0.006900000000000005","0.00743635","0.0130766","-0.00513651","-0.0980294"
"1","-0.007000000000000005","0.00586234","0.0129392","-0.00381667","-0.0916872"
"0","-0.007100000000000006","0.00827058","0.0118462","-0.00441313","-0.098684"
"2","-0.007200000000000006","0.00541515","0.0135337","-0.00319422","-0.0918725"
"1","-0.007300000000000006","0.00868056","0.0118664","-0.00441062","-0.0984585"
"2","-0.007400000000000006","0.00676346","0.013708","-0.00426984","-0.0917243"
"0","-0.007500000000000007","0.00685899","0.0119733","-0.00268224","-0.0968475"
"1","-0.007600000000000007","0.00730263","0.0136372","-0.00465925","-0.0945064"
"2","-0.007700000000000007","0.0070824","0.0120367","-0.00285568","-0.093786"
"2","-0.0078000000000000074","0.00707825","0.0128893","-0.00354664","-0.0969413"
"2","-0.007900000000000008","0.00805143","0.013011","-0.00479611","-0.0945954"
"0","-0.008000000000000007","0.00741482","0.0131733","-0.00409185","-0.0950918"
"0","-0.008100000000000007","0.00711995","0.0141914","-0.00523891","-0.0971305"
"2","-0.008200000000000006","0.00689245","0.013266","-0.00488074","-0.0940182"
"0","-0.008300000000000005","0.00734959","0.0131506","-0.00509704","-0.0969375"
"0","-0.008400000000000005","0.00542584","0.0132136","-0.00340045","-0.0933188"
"1","-0.008500000000000004","0.00726261","0.0121253","-0.00390537","-0.0974708"
"0","-0.008600000000000003","0.00628696","0.013144","-0.00395343","-0.0942438"
"2","-0.008700000000000003","0.00839306","0.0125517","-0.00548067","-0.0982362"
