"ACTION","REWARD","A0","A1","A2","V"
"0","-0.0001","0.0100223","-0.0273903","0.0211912","-0.0693142"
"1","-0.0002","0.0231523","-0.00454166","-0.00370973","-0.0986336"
"1","-0.00030000000000000003","0.0325065","0.0122331","-0.0211754","-0.0835917"
"2","-0.0004","0.0361864","0.00385837","-0.0132796","-0.0679472"
"0","-0.0005","0.0380467","-0.0102175","-0.000108217","-0.0725016"
"2","-0.0006000000000000001","0.0404556","-0.0129504","0.000752143","-0.0846465"
"0","-0.0007000000000000001","0.0434782","-0.00885068","-0.00519308","-0.087656"
"2","-0.0008000000000000001","0.0454148","-0.0080226","-0.00759153","-0.0841476"
"1","-0.0009000000000000002","0.0461983","-0.0114292","-0.00547728","-0.0826132"
"2","-0.0010000000000000002","0.0467893","-0.0146033","-0.00332629","-0.0846406"
"2","-0.0011000000000000003","0.0473724","-0.0151016","-0.00320839","-0.0868576"
"0","-0.0012000000000000003","0.0479928","-0.0145774","-0.0041099","-0.0876144"
"2","-0.0013000000000000004","0.0483946","-0.0145081","-0.00446856","-0.0873199"
"1","-0.0014000000000000004","0.0485846","-0.015024","-0.0041497","-0.0872451"
"2","-0.0015000000000000005","0.0487089","-0.0154475","-0.00385049","-0.0876656"
"0","-0.0016000000000000005","0.0488478","-0.0153983","-0.00399482","-0.0880532"
"2","-0.0017000000000000006","0.0489617","-0.0152718","-0.00415653","-0.0880631"
"1","-0.0018000000000000006","0.0490261","-0.0152936","-0.00412798","-0.0879683"
"2","-0.0019000000000000006","0.0490652","-0.0153784","-0.00401142","-0.0879844"
"0","-0.0020000000000000005","0.0491067","-0.0153937","-0.00395048","-0.088069"
"0","-0.0021000000000000003","0.0491534","-0.0153393","-0.00395083","-0.0881091"
"0","-0.0022","0.0491949","-0.0152854","-0.00394575","-0.0880897"
"0","-0.0023","0.0492277","-0.0152616","-0.00390899","-0.0880651"
"2","-0.0024","0.0492561","-0.0152464","-0.00386455","-0.0880653"
"0","-0.0024999999999999996","0.0492843","-0.0152191","-0.00383483","-0.0880763"
"2","-0.0025999999999999994","0.0493054","-0.0152626","-0.00370876","-0.0880978"
"2","-0.0026999999999999993","0.0493338","-0.0152327","-0.00367171","-0.0881687"
"0","-0.002799999999999999","0.0494888","-0.0153305","-0.00368872","-0.0882408"
"1","-0.002899999999999999","0.0495099","-0.0151189","-0.0037497","-0.0882276"
"0","-0.0029999999999999988","0.0495953","-0.0152802","-0.00365261","-0.0882007"
"2","-0.0030999999999999986","0.0496432","-0.0153537","-0.00359533","-0.088313"
"2","-0.0031999999999999984","0.0497087","-0.0153156","-0.00367339","-0.0884092"
"0","-0.0032999999999999982","0.0496918","-0.015022","-0.00377668","-0.0883005"
"1","-0.003399999999999998","0.0496495","-0.0150864","-0.00370083","-0.0881816"
"0","-0.003499999999999998","0.0496276","-0.0151456","-0.00364688","-0.088216"
"2","-0.0035999999999999977","0.0496635","-0.0150014","-0.00368708","-0.0882083"
"2","-0.0036999999999999976","0.0496875","-0.0149554","-0.00365107","-0.0881362"
"1","-0.0037999999999999974","0.0496643","-0.0150981","-0.00355874","-0.0881772"
"2","-0.0038999999999999972","0.0496377","-0.0151259","-0.00352486","-0.0882753"
"2","-0.0039999999999999975","0.0496553","-0.0150537","-0.00364837","-0.0882993"
"2","-0.004099999999999998","0.049637","-0.0150427","-0.00364707","-0.0882259"
"1","-0.004199999999999998","0.0496545","-0.015063","-0.00351967","-0.0881943"
"0","-0.004299999999999998","0.0497683","-0.0152378","-0.00357325","-0.0883058"
"1","-0.0043999999999999985","0.0498062","-0.0153209","-0.00360415","-0.0883942"
"1","-0.004499999999999999","0.0498159","-0.0153418","-0.00363957","-0.088446"
"1","-0.004599999999999999","0.0497846","-0.0153409","-0.00358876","-0.0884824"
"1","-0.004699999999999999","0.049899","-0.0151277","-0.00385883","-0.0885773"
"0","-0.0048","0.050169","-0.0151209","-0.00390891","-0.0883971"
"0","-0.0049","0.0502236","-0.0154221","-0.00345839","-0.0882937"
"0","-0.005","0.050302","-0.015544","-0.00324827","-0.0885726"
"0","-0.0051","0.0504037","-0.015415","-0.00331918","-0.0887403"
"0","-0.005200000000000001","0.0504844","-0.0152905","-0.00339851","-0.0886846"
"0","-0.005300000000000001","0.0505274","-0.0152937","-0.00335757","-0.0886003"
"2","-0.005400000000000001","0.0505517","-0.0153425","-0.003278","-0.0886123"
"2","-0.005500000000000001","0.0505759","-0.0153459","-0.00325033","-0.0886705"
"0","-0.005600000000000002","0.0506606","-0.0151581","-0.00354788","-0.088791"
"0","-0.005700000000000002","0.0506074","-0.0151247","-0.00391196","-0.088902"
"1","-0.005800000000000002","0.0504249","-0.0150699","-0.00382169","-0.0885955"
"2","-0.0059000000000000025","0.0504576","-0.0153531","-0.00353648","-0.0887662"
"2","-0.006000000000000003","0.0506028","-0.0152615","-0.00353484","-0.0888743"
"0","-0.006100000000000003","0.0505455","-0.0153121","-0.00355266","-0.0889861"
"2","-0.006200000000000003","0.0505088","-0.015082","-0.00352978","-0.0890312"
"2","-0.0063000000000000035","0.0505281","-0.0148981","-0.00356239","-0.0889188"
"2","-0.006400000000000004","0.0506936","-0.0148667","-0.00385528","-0.0887313"
"1","-0.006500000000000004","0.0506262","-0.0150531","-0.00354312","-0.0886381"
"2","-0.006600000000000004","0.0506052","-0.0151107","-0.00339971","-0.0888378"
"2","-0.0067000000000000046","0.0507094","-0.0149813","-0.00365837","-0.0889876"
"0","-0.006800000000000005","0.0506842","-0.0149537","-0.00357585","-0.0888594"
"0","-0.006900000000000005","0.0507361","-0.0149539","-0.00362068","-0.0887417"
"0","-0.007000000000000005","0.050733","-0.0150771","-0.00351783","-0.0887057"
"2","-0.007100000000000006","0.0507208","-0.0151576","-0.00344464","-0.0887931"
"0","-0.007200000000000006","0.0507614","-0.0154045","-0.00382389","-0.088886"
"0","-0.007300000000000006","0.0505442","-0.0155852","-0.00349158","-0.0890765"
"1","-0.007400000000000006","0.050583","-0.0155744","-0.0034965","-0.0893092"
"2","-0.007500000000000007","0.0506389","-0.0153931","-0.00366055","-0.0893099"
"2","-0.007600000000000007","0.0507579","-0.0150863","-0.00399552","-0.0891488"
"0","-0.007700000000000007","0.0507054","-0.0153435","-0.0036954","-0.0888782"
"1","-0.0078000000000000074","0.0505576","-0.0153085","-0.00358736","-0.0890549"
"1","-0.007900000000000008","0.0506467","-0.0153196","-0.00364507","-0.0890772"
"0","-0.008000000000000007","0.0506931","-0.0153319","-0.00366401","-0.0890621"
"0","-0.008100000000000007","0.0507588","-0.015174","-0.00388105","-0.0890684"
"0","-0.008200000000000006","0.0507774","-0.0151666","-0.00392985","-0.088933"
"2","-0.008300000000000005","0.0507631","-0.0152697","-0.00385718","-0.0889137"
"1","-0.008400000000000005","0.0507476","-0.0153264","-0.00382516","-0.0890031"
"1","-0.008500000000000004","0.0507006","-0.0154816","-0.00364255","-0.0890547"
"0","-0.008600000000000003","0.0507323","-0.0152887","-0.00385952","-0.0892069"
"2","-0.008700000000000003","0.0507909","-0.0152815","-0.00356118","-0.0890561"
"1","-0.008800000000000002","0.0508405","-0.0152656","-0.00336781","-0.0891545"
"0","-0.008900000000000002","0.0509267","-0.0150301","-0.00376035","-0.0892152"
"1","-0.009000000000000001","0.051094","-0.0145819","-0.00392181","-0.0891937"
"1","-0.0091","0.0511856","-0.0144368","-0.00380974","-0.0889971"
"2","-0.0092","0.0510546","-0.014892","-0.00319304","-0.0888066"
"0","-0.0093","0.0508943","-0.014933","-0.00342022","-0.0892023"
"2","-0.009399999999999999","0.0509026","-0.0148796","-0.00337152","-0.089182"
"0","-0.009499999999999998","0.0510894","-0.0143623","-0.00378009","-0.0893578"
"1","-0.009599999999999997","0.0511888","-0.0141484","-0.00383816","-0.0890379"
"0","-0.009699999999999997","0.0512097","-0.014265","-0.00356634","-0.0889166"
"0","-0.009799999999999996","0.0510534","-0.0147946","-0.00296329","-0.0888868"
"0","-0.009899999999999996","0.0510004","-0.01487","-0.00291382","-0.0893154"
"0","-0.009999999999999995","0.0510164","-0.0146175","-0.00322697","-0.0893965"
"2","-0.010099999999999994","0.0510161","-0.014506","-0.00339917","-0.0891589"
"0","-0.010199999999999994","0.0509893","-0.0146227","-0.00335664","-0.0889975"
"2","-0.010299999999999993","0.051132","-0.0143323","-0.00365366","-0.0892245"
"1","-0.010399999999999993","0.0512704","-0.0143135","-0.00386061","-0.0889852"
"2","-0.010499999999999992","0.0511107","-0.0148343","-0.00343701","-0.0887598"
"0","-0.010599999999999991","0.0511497","-0.0147071","-0.00375283","-0.0891511"
"1","-0.01069999999999999","0.0510486","-0.0149025","-0.00350728","-0.0890916"
"1","-0.01079999999999999","0.0510171","-0.0149665","-0.00346242","-0.0892348"
"2","-0.01089999999999999","0.0509403","-0.0144775","-0.0040111","-0.0891418"
"0","-0.010999999999999989","0.0507211","-0.0149052","-0.00342804","-0.0887797"
"0","-0.011099999999999988","0.0507064","-0.0147","-0.00374764","-0.0890839"
"0","-0.011199999999999988","0.0506972","-0.0145358","-0.00394615","-0.0889545"
"2","-0.011299999999999987","0.0506636","-0.0146042","-0.00387752","-0.0888245"
"0","-0.011399999999999987","0.0506358","-0.0147165","-0.00375592","-0.0888868"
"1","-0.011499999999999986","0.0507136","-0.0151489","-0.00329925","-0.0891401"
"1","-0.011599999999999985","0.0508399","-0.0150794","-0.00340502","-0.0894663"
"2","-0.011699999999999985","0.051231","-0.0145212","-0.00382815","-0.0895639"
"0","-0.011799999999999984","0.051089","-0.0145708","-0.00376653","-0.0889252"
"2","-0.011899999999999984","0.0511865","-0.0146808","-0.00390745","-0.0888447"
"0","-0.011999999999999983","0.0511983","-0.0148774","-0.00381752","-0.0889087"
"0","-0.012099999999999982","0.050982","-0.0152178","-0.00316631","-0.0890939"
"0","-0.012199999999999982","0.0509846","-0.0149599","-0.00323759","-0.0894884"
"1","-0.012299999999999981","0.0510454","-0.0146366","-0.00346454","-0.0893861"
"2","-0.01239999999999998","0.0510666","-0.0146061","-0.00343719","-0.0891439"
"1","-0.01249999999999998","0.0513229","-0.0145038","-0.00380268","-0.0890843"
"2","-0.01259999999999998","0.0511114","-0.0148572","-0.00322214","-0.0890346"
"1","-0.012699999999999979","0.051319","-0.0146625","-0.00362016","-0.0893315"
"2","-0.012799999999999978","0.0511305","-0.0147551","-0.00328509","-0.089247"
"1","-0.012899999999999977","0.051343","-0.0145034","-0.00373913","-0.0893161"
"0","-0.012999999999999977","0.0511366","-0.0147095","-0.00329502","-0.0891444"
"0","-0.013099999999999976","0.0513389","-0.014537","-0.00367726","-0.0892847"
"2","-0.013199999999999976","0.0511613","-0.0153147","-0.00315995","-0.0892338"
"0","-0.013299999999999975","0.0512539","-0.0147038","-0.00381519","-0.0896405"
"2","-0.013399999999999974","0.0511581","-0.0148177","-0.00362138","-0.0890289"
"1","-0.013499999999999974","0.0510463","-0.0152437","-0.00323887","-0.0891006"
"1","-0.013599999999999973","0.0509624","-0.0153545","-0.00306612","-0.0894139"
"0","-0.013699999999999973","0.0509719","-0.0146151","-0.00390601","-0.0895322"
"2","-0.013799999999999972","0.0511979","-0.0138646","-0.00497151","-0.0887863"
"1","-0.013899999999999971","0.0509116","-0.0148614","-0.00392707","-0.088126"
"2","-0.01399999999999997","0.0507754","-0.0154541","-0.00334001","-0.0888158"
"1","-0.01409999999999997","0.0510577","-0.0146579","-0.00437723","-0.0892721"
