"ACTION","REWARD","A0","A1","A2","V"
"2","-0.0002","0.0192933","-0.0435758","0.0365645","-0.0277955"
"1","-0.0004","0.015581","-0.0334719","0.0268485","-0.0880379"
"1","-0.0006000000000000001","-0.00192634","0.00155511","0.00154921","-0.0596539"
"2","-0.0008","0.0145232","-0.00809415","0.00198591","-0.0600622"
"0","-0.001","0.00859469","-0.0194355","0.017712","-0.0779468"
"0","-0.0012000000000000001","0.00616655","-0.00992496","0.00650346","-0.0761748"
"1","-0.0014000000000000002","0.00778991","-0.0168153","0.0118656","-0.0886069"
"0","-0.0016000000000000003","0.00346944","-0.00960433","0.00474219","-0.0847562"
"2","-0.0018000000000000004","0.00520979","-0.0157021","0.00840135","-0.087804"
"0","-0.0020000000000000005","0.00313914","-0.0148884","0.00682143","-0.0923423"
"1","-0.0022000000000000006","0.00262345","-0.0149067","0.00515561","-0.0907878"
"2","-0.0024000000000000007","0.0027695","-0.0160852","0.00488483","-0.0933627"
"2","-0.0026000000000000007","0.00124467","-0.0157024","0.00438581","-0.0931693"
"1","-0.002800000000000001","0.00156471","-0.0159779","0.00365535","-0.0932803"
"0","-0.003000000000000001","0.00122116","-0.0166845","0.00416655","-0.0941305"
"0","-0.003200000000000001","0.00100403","-0.0162841","0.00346547","-0.0940305"
"1","-0.003400000000000001","0.00103288","-0.016719","0.00368343","-0.09419"
"2","-0.003600000000000001","0.000949099","-0.0166918","0.00348814","-0.094432"
"1","-0.0038000000000000013","0.000831115","-0.0167589","0.00346963","-0.0943734"
"0","-0.004000000000000001","0.000852918","-0.0168125","0.00335972","-0.0944769"
"2","-0.004200000000000001","0.000599985","-0.016688","0.0032801","-0.0939965"
"0","-0.0044","0.000794855","-0.0170811","0.0034918","-0.0944447"
"2","-0.0046","0.000550091","-0.0167976","0.00328328","-0.0942718"
"2","-0.0048","0.000651352","-0.0168828","0.0032723","-0.0940902"
"0","-0.004999999999999999","0.000660583","-0.0170245","0.00339636","-0.094256"
"1","-0.005199999999999999","0.000592421","-0.0169429","0.0033289","-0.094186"
"0","-0.0053999999999999986","0.000635248","-0.0169771","0.00333129","-0.0941678"
"1","-0.005599999999999998","0.000625076","-0.0169888","0.00334976","-0.0941938"
"2","-0.005799999999999998","0.000618013","-0.0169701","0.0033313","-0.0941612"
"0","-0.0059999999999999975","0.000630372","-0.0169899","0.00334404","-0.0941699"
"0","-0.006199999999999997","0.000775062","-0.0171678","0.00343369","-0.094672"
"0","-0.006399999999999997","0.000551838","-0.016665","0.00284525","-0.0947885"
"0","-0.0065999999999999965","0.000563197","-0.0167988","0.00280254","-0.0939771"
"2","-0.006799999999999996","0.000830925","-0.017599","0.00331781","-0.0950874"
"0","-0.006999999999999996","0.000372588","-0.0170763","0.00290169","-0.0950328"
"1","-0.0071999999999999955","0.000833338","-0.0171003","0.00252075","-0.0946532"
"1","-0.007399999999999995","0.000752669","-0.0175893","0.00303938","-0.0953397"
"0","-0.007599999999999995","0.000259286","-0.0170503","0.00266338","-0.0952045"
"1","-0.0077999999999999944","0.000844613","-0.0172609","0.00247888","-0.0939852"
"1","-0.007999999999999995","0.00102249","-0.0182329","0.00349506","-0.0961173"
"2","-0.008199999999999995","0.000127134","-0.0165219","0.00235851","-0.095416"
"1","-0.008399999999999996","0.000530323","-0.0165021","0.00222721","-0.093754"
"0","-0.008599999999999997","0.00103877","-0.0178569","0.0034702","-0.0956288"
"2","-0.008799999999999997","0.000225882","-0.0165598","0.00260912","-0.094464"
"0","-0.008999999999999998","0.000832173","-0.0173015","0.00309351","-0.0947163"
"0","-0.009199999999999998","0.000711573","-0.0171567","0.00307094","-0.0953273"
"1","-0.009399999999999999","0.000612724","-0.0167605","0.00275451","-0.0945408"
"1","-0.0096","0.00128025","-0.0172125","0.00339997","-0.094832"
"0","-0.0098","0.000558672","-0.0163441","0.00322651","-0.0932294"
"1","-0.01","0.00161415","-0.0182031","0.00447466","-0.0959844"
"1","-0.0102","0.000484892","-0.0161344","0.00285865","-0.0946503"
"2","-0.010400000000000001","0.00186118","-0.0177597","0.00323566","-0.0963322"
"0","-0.010600000000000002","0.000712363","-0.0165237","0.00233661","-0.0952419"
"1","-0.010800000000000002","0.00125555","-0.0175864","0.00286648","-0.0955676"
"2","-0.011000000000000003","0.000946317","-0.0174135","0.00267413","-0.0962471"
"0","-0.011200000000000003","-1.60905e-05","-0.0165823","0.0021227","-0.0953344"
"0","-0.011400000000000004","0.0011679","-0.0173751","0.00218822","-0.0948744"
"2","-0.011600000000000004","0.0010427","-0.0181474","0.00313667","-0.0965251"
"1","-0.011800000000000005","0.000590622","-0.0169968","0.00210948","-0.0957797"
"2","-0.012000000000000005","0.000278914","-0.0167188","0.00242197","-0.0937813"
"0","-0.012200000000000006","0.0018449","-0.0188175","0.00346925","-0.0977852"
"0","-0.012400000000000007","-0.000700308","-0.0153869","0.00169923","-0.0933732"
"1","-0.012600000000000007","0.0016111","-0.0182444","0.00345552","-0.0950539"
"1","-0.012800000000000008","0.00042598","-0.0173089","0.00332234","-0.0958734"
"2","-0.013000000000000008","-0.00270539","-0.0146985","0.000668805","-0.105461"
"1","-0.013200000000000009","-0.00227135","-0.0111782","-0.00420438","-0.0755261"
"1","-0.013400000000000009","0.00781269","-0.0333873","0.013219","-0.111296"
"0","-0.01360000000000001","-0.00739082","-0.0102401","-0.00242915","-0.0946229"
"1","-0.01380000000000001","0.00279099","-0.0181104","0.000222336","-0.0903075"
"2","-0.01400000000000001","0.00115081","-0.021096","0.00551047","-0.100292"
"1","-0.014200000000000011","-0.00185606","-0.0146086","0.00031285","-0.0931866"
"2","-0.014400000000000012","0.00150957","-0.0185138","0.00263112","-0.0944747"
"1","-0.014600000000000012","1.71415e-05","-0.0180385","0.00321859","-0.0962345"
