"ACTION","REWARD","A0","A1","A2","V"
"2","-0.0001","-0.00195422","-0.0343877","0.0443247","-0.033262"
"1","-0.0002","0.014112","-0.0955701","0.0642705","-0.0607882"
"2","-0.00030000000000000003","0.0310725","-0.15765","0.0754073","-0.0785414"
"2","-0.0004","0.0470882","-0.216186","0.0800126","-0.089531"
"1","-0.0005","0.0612204","-0.269096","0.0799395","-0.0960113"
"2","-0.0006000000000000001","0.0731423","-0.315574","0.0766389","-0.099591"
"0","-0.0007000000000000001","0.0793586","-0.355762","0.0714177","-0.102504"
"0","-0.0008000000000000001","0.0844259","-0.389764","0.065014","-0.10425"
"2","-0.0009000000000000002","0.0885628","-0.418159","0.0579868","-0.105371"
"2","-0.0010000000000000002","0.0919825","-0.441594","0.0507834","-0.106157"
"1","-0.0011000000000000003","0.0913519","-0.44718","0.0443429","-0.0942339"
"2","-0.0012000000000000003","0.0860536","-0.441503","0.0385047","-0.0828816"
"1","-0.0013000000000000004","0.0793414","-0.431132","0.0337449","-0.0724662"
"1","-0.0014000000000000004","0.0725257","-0.418929","0.0300619","-0.0631165"
"0","-0.0015000000000000005","0.0665319","-0.407665","0.0280305","-0.056387"
"2","-0.0016000000000000005","0.0610965","-0.396761","0.0268101","-0.0502016"
"2","-0.0017000000000000006","0.0551134","-0.385718","0.0279277","-0.0422874"
"2","-0.0018000000000000006","0.0504155","-0.37598","0.0294107","-0.0363724"
"1","-0.0019000000000000006","0.0467565","-0.367598","0.0312351","-0.031856"
"0","-0.0020000000000000005","0.043929","-0.360571","0.0333082","-0.0283537"
"0","-0.0021000000000000003","0.0417508","-0.354811","0.0355315","-0.0255983"
"1","-0.0022","0.0400695","-0.350186","0.0378126","-0.0234022"
"1","-0.0023","0.0387617","-0.346546","0.0400725","-0.0216317"
"2","-0.0024","0.0377309","-0.343738","0.0422483","-0.0201905"
"1","-0.0024999999999999996","0.0369034","-0.341617","0.0442934","-0.019007"
"1","-0.0025999999999999994","0.0362244","-0.340052","0.0461762","-0.0180276"
"0","-0.0026999999999999993","0.0356537","-0.338929","0.0478786","-0.0172114"
"2","-0.002799999999999999","0.0324861","-0.341343","0.0494693","-0.016163"
"1","-0.002899999999999999","0.0302899","-0.343355","0.0508258","-0.0151609"
"2","-0.0029999999999999988","0.0287137","-0.344977","0.0519886","-0.0142173"
"0","-0.0030999999999999986","0.0275279","-0.34627","0.0529838","-0.0133386"
"2","-0.0031999999999999984","0.0265935","-0.347291","0.0538304","-0.0125252"
"0","-0.0032999999999999982","0.0258273","-0.34809","0.0545436","-0.0117746"
"0","-0.003399999999999998","0.0251793","-0.34871","0.0551369","-0.0110837"
"2","-0.003499999999999998","0.0246202","-0.349185","0.055623","-0.0104491"
"2","-0.0035999999999999977","0.0241323","-0.349544","0.0560146","-0.00986777"
"0","-0.0036999999999999976","0.0237048","-0.349812","0.056324","-0.00933684"
"0","-0.0037999999999999974","0.0233303","-0.350007","0.0565632","-0.00885376"
"0","-0.0038999999999999972","0.0230035","-0.350146","0.0567434","-0.00841612"
"2","-0.0039999999999999975","0.02272","-0.350241","0.0568752","-0.00802154"
"0","-0.004099999999999998","0.0224756","-0.350302","0.0569678","-0.00766746"
"0","-0.004199999999999998","0.0222663","-0.350336","0.0570293","-0.00735152"
"0","-0.004299999999999998","0.0220883","-0.350351","0.0570671","-0.00707129"
"0","-0.0043999999999999985","0.0219379","-0.350352","0.0570868","-0.00682412"
"2","-0.004499999999999999","0.0280007","-0.35021","0.0544383","-0.0116378"
"0","-0.004599999999999999","0.0293048","-0.347016","0.0546155","-0.00987336"
"2","-0.004699999999999999","0.0295171","-0.344979","0.0538757","-0.0108923"
"0","-0.0048","0.0294801","-0.343321","0.0534129","-0.0118293"
"1","-0.0049","0.0286166","-0.341799","0.0540055","-0.0102539"
"0","-0.005","0.0278469","-0.34071","0.0543837","-0.00926764"
"1","-0.0051","0.027919","-0.340147","0.0537187","-0.0110751"
"0","-0.005200000000000001","0.0279879","-0.339676","0.0532495","-0.0124374"
"1","-0.005300000000000001","0.0247404","-0.342346","0.054531","-0.0112442"
"2","-0.005400000000000001","0.0244619","-0.344937","0.0544945","-0.010644"
"0","-0.005500000000000001","0.0243085","-0.346834","0.0545728","-0.0100804"
"1","-0.005600000000000002","0.0223709","-0.347912","0.0556599","-0.00926621"
"1","-0.005700000000000002","0.0210089","-0.34881","0.0564238","-0.00871837"
"0","-0.005800000000000002","0.0218445","-0.349798","0.0560296","-0.00866387"
"2","-0.0059000000000000025","0.0217031","-0.34981","0.056073","-0.00857256"
"1","-0.006000000000000003","0.0215546","-0.349876","0.055916","-0.00836308"
"1","-0.006100000000000003","0.0220592","-0.350489","0.0554575","-0.00804598"
"0","-0.006200000000000003","0.0217217","-0.35022","0.0555151","-0.00779107"
"2","-0.0063000000000000035","0.0213453","-0.351225","0.0540491","-0.00873953"
"2","-0.006400000000000004","0.0213188","-0.352122","0.0530217","-0.00899578"
"2","-0.006500000000000004","0.0216162","-0.351799","0.0536267","-0.00763904"
"0","-0.006600000000000004","0.0223722","-0.352103","0.0536924","-0.00673123"
"1","-0.0067000000000000046","0.0209806","-0.351819","0.0548493","-0.00587829"
"2","-0.006800000000000005","0.019962","-0.351627","0.0556912","-0.00545243"
"0","-0.006900000000000005","0.0236531","-0.348403","0.0554955","-0.00586838"
"0","-0.007000000000000005","0.0242365","-0.34586","0.0562064","-0.00627107"
"2","-0.007100000000000006","0.0245705","-0.343946","0.0566893","-0.00681602"
"2","-0.007200000000000006","0.023911","-0.342783","0.0563043","-0.00745985"
"1","-0.007300000000000006","0.0249941","-0.341495","0.0556937","-0.0101931"
"1","-0.007400000000000006","0.0246293","-0.340604","0.0566983","-0.0103581"
"1","-0.007500000000000007","0.0254077","-0.339886","0.0558751","-0.0126627"
"0","-0.007600000000000007","0.0244572","-0.339792","0.0557751","-0.0123998"
"1","-0.007700000000000007","0.0269899","-0.338649","0.0554594","-0.0131303"
"2","-0.0078000000000000074","0.0288194","-0.338292","0.0546031","-0.0135102"
"1","-0.007900000000000008","0.029188","-0.33923","0.0540856","-0.0139848"
"0","-0.008000000000000007","0.030422","-0.338706","0.0535871","-0.0142154"
"2","-0.008100000000000007","0.0303234","-0.339464","0.0532974","-0.0146004"
"2","-0.008200000000000006","0.030023","-0.340013","0.0529253","-0.0148436"
"2","-0.008300000000000005","0.0308189","-0.339166","0.0525348","-0.0149291"
"2","-0.008400000000000005","0.0285326","-0.33966","0.0527121","-0.0142634"
"1","-0.008500000000000004","0.0285173","-0.339745","0.0524245","-0.0159189"
"2","-0.008600000000000003","0.0274405","-0.33994","0.0537707","-0.0154922"
"2","-0.008700000000000003","0.0275094","-0.339931","0.053056","-0.0171196"
"0","-0.008800000000000002","0.0265692","-0.34007","0.0541283","-0.0165772"
"1","-0.008900000000000002","0.02811","-0.340854","0.0517333","-0.0169234"
"0","-0.009000000000000001","0.0293397","-0.341587","0.0500592","-0.0166194"
"1","-0.0091","0.0280307","-0.341634","0.0518588","-0.0153031"
"1","-0.0092","0.0279196","-0.341393","0.0515405","-0.0165092"
"0","-0.0093","0.0278179","-0.341068","0.0514719","-0.0176552"
"2","-0.009399999999999999","0.027666","-0.343628","0.0565429","-0.0166516"
"1","-0.009499999999999998","0.0255499","-0.342719","0.0558692","-0.0154815"
"2","-0.009599999999999997","0.0260722","-0.342958","0.055157","-0.0208551"
"2","-0.009699999999999997","0.0217864","-0.342956","0.0576187","-0.0179881"
"2","-0.009799999999999996","0.0236364","-0.344055","0.056173","-0.0222041"
"0","-0.009899999999999996","0.0249751","-0.342849","0.055259","-0.0210947"
"2","-0.009999999999999995","0.0276878","-0.346617","0.0531623","-0.0215353"
"1","-0.010099999999999994","0.0296829","-0.349367","0.051983","-0.0213067"
"0","-0.010199999999999994","0.0246316","-0.349675","0.0561252","-0.01611"
"2","-0.010299999999999993","0.0272317","-0.352354","0.0534625","-0.0175981"
"2","-0.010399999999999993","0.0292086","-0.354201","0.0518344","-0.0183997"
"0","-0.010499999999999992","0.0299883","-0.352114","0.0492907","-0.0253881"
"1","-0.010599999999999991","0.0303692","-0.35007","0.0472868","-0.0313571"
