"ACTION","REWARD","A0","A1","A2","V"
"1","-0.0002","-0.0129724","-0.0290115","0.0416368","-0.0888897"
"2","-0.0004","-0.0117198","0.0219556","-0.0208495","-0.0489208"
"1","-0.0006000000000000001","-0.0197283","-0.0192953","0.0331261","-0.0628349"
"0","-0.0008","-0.0153912","-0.0197846","0.0240316","-0.106809"
"2","-0.001","-0.0185091","-0.0112725","0.0129265","-0.0841757"
"0","-0.0012000000000000001","-0.0195436","-0.0216242","0.0248946","-0.106892"
"1","-0.0014000000000000002","-0.0200728","-0.0211757","0.0217148","-0.105909"
"1","-0.0016000000000000003","-0.0204812","-0.0221066","0.021958","-0.113282"
"1","-0.0018000000000000004","-0.0215369","-0.0229388","0.0224295","-0.112964"
"2","-0.0020000000000000005","-0.0218811","-0.0242153","0.0232767","-0.118063"
"1","-0.0022000000000000006","-0.0224014","-0.0247734","0.0229766","-0.118737"
"2","-0.0024000000000000007","-0.0228418","-0.0253175","0.0230217","-0.121211"
"2","-0.0026000000000000007","-0.0234041","-0.0257095","0.0230606","-0.121483"
"0","-0.002800000000000001","-0.0237571","-0.0263189","0.0233891","-0.123037"
"0","-0.003000000000000001","-0.024113","-0.0266171","0.0234113","-0.123349"
"2","-0.003200000000000001","-0.0243679","-0.0270215","0.0236297","-0.124198"
"0","-0.003400000000000001","-0.0246041","-0.0272772","0.0237133","-0.124505"
"0","-0.003600000000000001","-0.0247778","-0.0275237","0.0238293","-0.125006"
"2","-0.0038000000000000013","-0.0249365","-0.0276905","0.0238864","-0.125223"
"1","-0.004000000000000001","-0.0250579","-0.0278492","0.0239598","-0.125524"
"2","-0.004200000000000001","-0.0252566","-0.0275135","0.0238067","-0.125418"
"2","-0.0044","-0.0253068","-0.0277647","0.0241949","-0.125387"
"1","-0.0046","-0.0252974","-0.0279467","0.0243851","-0.12578"
"0","-0.0048","-0.0253213","-0.0279124","0.02433","-0.125729"
"2","-0.004999999999999999","-0.0253574","-0.0279915","0.0244304","-0.125836"
"1","-0.005199999999999999","-0.025389","-0.0280366","0.0244665","-0.125894"
"0","-0.0053999999999999986","-0.0254164","-0.0280584","0.0244731","-0.125946"
"1","-0.005599999999999998","-0.0254461","-0.028087","0.0244896","-0.125965"
"1","-0.005799999999999998","-0.0254692","-0.0281154","0.024502","-0.126007"
"1","-0.0059999999999999975","-0.0254903","-0.0281332","0.0245023","-0.12602"
"0","-0.006199999999999997","-0.0255761","-0.0297363","0.0256992","-0.125353"
"0","-0.006399999999999997","-0.0253776","-0.0286017","0.0240964","-0.129533"
"2","-0.0065999999999999965","-0.0257122","-0.0264004","0.0219778","-0.123988"
"1","-0.006799999999999996","-0.0257531","-0.0287881","0.0250338","-0.126798"
"2","-0.006999999999999996","-0.0257211","-0.0298229","0.0253533","-0.1255"
"2","-0.0071999999999999955","-0.0257202","-0.0299298","0.0250107","-0.12826"
"0","-0.007399999999999995","-0.025967","-0.028805","0.02361","-0.125872"
"2","-0.007599999999999995","-0.0264725","-0.0279944","0.0235666","-0.127017"
"0","-0.0077999999999999944","-0.0265575","-0.0278042","0.0237043","-0.124914"
"0","-0.007999999999999995","-0.025967","-0.0290849","0.0250194","-0.12701"
"0","-0.008199999999999995","-0.0258367","-0.0281669","0.0239751","-0.12585"
"0","-0.008399999999999996","-0.0258498","-0.0285659","0.0246839","-0.125986"
"0","-0.008599999999999997","-0.0257753","-0.0285698","0.0247041","-0.126213"
"2","-0.008799999999999997","-0.0257521","-0.0284167","0.0245836","-0.126027"
"1","-0.008999999999999998","-0.0257502","-0.0284444","0.0246872","-0.126038"
"2","-0.009199999999999998","-0.0257164","-0.0283801","0.0245843","-0.126363"
"2","-0.009399999999999999","-0.02573","-0.0282282","0.0244925","-0.125663"
"0","-0.0096","-0.0258999","-0.0294273","0.0252967","-0.125957"
"2","-0.0098","-0.0258848","-0.0289141","0.0243814","-0.128346"
"0","-0.01","-0.0261022","-0.0272274","0.0226273","-0.125042"
"1","-0.0102","-0.0259606","-0.0287317","0.0245725","-0.126319"
"1","-0.010400000000000001","-0.0257538","-0.0283959","0.024006","-0.12654"
"1","-0.010600000000000002","-0.0260219","-0.0281631","0.0239188","-0.126095"
"0","-0.010800000000000002","-0.025911","-0.029551","0.0250877","-0.126232"
"0","-0.011000000000000003","-0.0256983","-0.028577","0.0238662","-0.128194"
"1","-0.011200000000000003","-0.0258731","-0.0273016","0.0228148","-0.124858"
"0","-0.011400000000000004","-0.0262262","-0.0287073","0.0249204","-0.126184"
"2","-0.011600000000000004","-0.0260734","-0.028573","0.0244813","-0.126782"
"1","-0.011800000000000005","-0.0260846","-0.0280431","0.0239101","-0.126137"
"0","-0.012000000000000005","-0.0257992","-0.0285244","0.0243413","-0.126644"
"1","-0.012200000000000006","-0.0260871","-0.0279449","0.0239256","-0.125812"
"2","-0.012400000000000007","-0.0261322","-0.0286178","0.0247282","-0.126455"
"0","-0.012600000000000007","-0.0258377","-0.0296006","0.0250262","-0.126479"
"1","-0.012800000000000008","-0.0260817","-0.0281861","0.023644","-0.127746"
"2","-0.013000000000000008","-0.0263185","-0.0274979","0.0232426","-0.124925"
"2","-0.013200000000000009","-0.0259758","-0.0302222","0.0255906","-0.126548"
"1","-0.013400000000000009","-0.0261037","-0.0281843","0.0234424","-0.128463"
"1","-0.01360000000000001","-0.0262502","-0.0283866","0.0238566","-0.123682"
"0","-0.01380000000000001","-0.0261232","-0.0291837","0.0249217","-0.129476"
