"ACTION","REWARD","A0","A1","A2","V"
"2","-0.0001","0.00212451","-0.0258601","0.0180046","-0.106843"
"0","-0.0002","-0.00522261","0.0127166","-0.0285484","-0.0753071"
"2","-0.00030000000000000003","-0.0174255","0.00874264","-0.0214477","-0.0905939"
"2","-0.0004","-0.01295","-0.0130512","-0.0178693","-0.131771"
"1","-0.0005","-0.00598206","-0.0174165","-0.025276","-0.124526"
"1","-0.0006000000000000001","-0.00447061","-0.0225633","-0.0174079","-0.161284"
"1","-0.0007000000000000001","-0.00244632","-0.0170117","-0.0222265","-0.156922"
"1","-0.0008000000000000001","-0.00641319","-0.01865","-0.00493971","-0.166672"
"0","-0.0009000000000000002","0.00203103","-0.0139945","-0.00977003","-0.175108"
"1","-0.0010000000000000002","-0.00388639","-0.00498028","-0.00918031","-0.149913"
"2","-0.0011000000000000003","-0.00299515","-0.0100038","-0.00563506","-0.160762"
"2","-0.0012000000000000003","-0.00402025","-0.0139387","-0.00430434","-0.152399"
"1","-0.0013000000000000004","-0.00211529","-0.0150954","-0.00568012","-0.158315"
"1","-0.0014000000000000004","-0.00445569","-0.0151183","-0.00499437","-0.157102"
"2","-0.0015000000000000005","-0.00340983","-0.0142969","-0.0065933","-0.156256"
"0","-0.0016000000000000005","-0.00490564","-0.0136015","-0.00569245","-0.15637"
"0","-0.0017000000000000006","-0.00415229","-0.0138163","-0.00603606","-0.155556"
"2","-0.0018000000000000006","-0.00453115","-0.0135144","-0.00571237","-0.155478"
"2","-0.0019000000000000006","-0.00428561","-0.0138807","-0.00568083","-0.155793"
"0","-0.0020000000000000005","-0.00440732","-0.0138272","-0.00577795","-0.155445"
"0","-0.0021000000000000003","-0.00447934","-0.0138903","-0.00582266","-0.155863"
"0","-0.0022","-0.00456124","-0.0139252","-0.00591335","-0.155558"
"1","-0.0023","-0.00457295","-0.0139091","-0.00598757","-0.155645"
"2","-0.0024","-0.00463365","-0.0139403","-0.00596591","-0.155604"
"2","-0.0024999999999999996","-0.00459549","-0.013948","-0.00601286","-0.155563"
"2","-0.0025999999999999994","-0.00462668","-0.0139601","-0.0059876","-0.155578"
"1","-0.0026999999999999993","-0.00461118","-0.0139814","-0.00600101","-0.15558"
"2","-0.002799999999999999","-0.00462895","-0.0139747","-0.00600782","-0.15557"
"0","-0.002899999999999999","-0.00463419","-0.0139811","-0.00601578","-0.155578"
"0","-0.0029999999999999988","-0.00464402","-0.013982","-0.00602376","-0.155563"
"0","-0.0030999999999999986","-0.00410274","-0.0138558","-0.00663611","-0.15588"
"1","-0.0031999999999999984","-0.00455335","-0.0137247","-0.00645326","-0.155764"
"1","-0.0032999999999999982","-0.00429754","-0.0137465","-0.00671984","-0.156246"
"2","-0.003399999999999998","-0.00481613","-0.0138511","-0.00640906","-0.155487"
"0","-0.003499999999999998","-0.00435066","-0.0143381","-0.00632561","-0.156498"
"2","-0.0035999999999999977","-0.00463845","-0.0135387","-0.00673959","-0.156087"
"1","-0.0036999999999999976","-0.00454144","-0.0137391","-0.00662521","-0.155566"
"0","-0.0037999999999999974","-0.00437738","-0.0134568","-0.00680562","-0.156556"
"2","-0.0038999999999999972","-0.00465985","-0.0138577","-0.00638997","-0.154772"
"2","-0.0039999999999999975","-0.00433983","-0.0140159","-0.00650572","-0.157023"
"2","-0.004099999999999998","-0.00439108","-0.0134557","-0.00682843","-0.15587"
"1","-0.004199999999999998","-0.00432463","-0.0130411","-0.00687906","-0.155591"
"2","-0.004299999999999998","-0.00485336","-0.0129612","-0.00626348","-0.15605"
"2","-0.0043999999999999985","-0.00382901","-0.0134641","-0.00659645","-0.155037"
"1","-0.004499999999999999","-0.00474337","-0.0129344","-0.00595561","-0.15654"
"2","-0.004599999999999999","-0.00377279","-0.0140268","-0.00600278","-0.155426"
"0","-0.004699999999999999","-0.00432857","-0.0128278","-0.00621183","-0.156307"
"2","-0.0048","-0.00410504","-0.0136905","-0.00589329","-0.155905"
"1","-0.0049","-0.00408992","-0.0133776","-0.00615137","-0.156308"
"2","-0.005","-0.00415922","-0.0136996","-0.0060608","-0.155343"
"2","-0.0051","-0.00425782","-0.0132556","-0.00642619","-0.157589"
"1","-0.005200000000000001","-0.00422705","-0.0135707","-0.00638977","-0.154113"
"1","-0.005300000000000001","-0.00434519","-0.0132783","-0.0065635","-0.157723"
"0","-0.005400000000000001","-0.00441964","-0.0138365","-0.00636139","-0.154742"
"2","-0.005500000000000001","-0.00421696","-0.0131663","-0.00677197","-0.157614"
"2","-0.005600000000000002","-0.00448478","-0.0133269","-0.00642052","-0.154964"
"2","-0.005700000000000002","-0.00401157","-0.0136136","-0.00641566","-0.155888"
"2","-0.005800000000000002","-0.00449947","-0.0134841","-0.00633803","-0.15676"
"1","-0.0059000000000000025","-0.00393779","-0.0130832","-0.00701767","-0.155803"
"2","-0.006000000000000003","-0.00440386","-0.0127842","-0.00673223","-0.15589"
"1","-0.006100000000000003","-0.00416323","-0.0131981","-0.00666321","-0.155557"
"0","-0.006200000000000003","-0.00416529","-0.0131836","-0.00660816","-0.156041"
"1","-0.0063000000000000035","-0.0039109","-0.0132484","-0.00683131","-0.156408"
"2","-0.006400000000000004","-0.00406554","-0.0129977","-0.00684852","-0.155741"
"2","-0.006500000000000004","-0.00419508","-0.013328","-0.00650927","-0.156043"
"0","-0.006600000000000004","-0.00396577","-0.0130737","-0.00689538","-0.156921"
