"ACTION","REWARD","A0","A1","A2","V"
"0","-0.0001","-0.0167575","-0.0402906","0.0475466","-0.0260115"
"2","-0.0002","0.0114312","-0.0528038","0.0389541","-0.176643"
"2","-0.00030000000000000003","-0.00803076","-0.00668938","0.0102923","-0.107786"
"0","-0.0004","-0.00804935","-0.00915497","0.0211245","-0.157994"
"1","-0.0005","-0.00795029","-0.0209279","0.0287153","-0.138965"
"2","-0.0006000000000000001","-0.00527361","-0.0168904","0.0256616","-0.180223"
"0","-0.0007000000000000001","-0.00873849","-0.0083317","0.0193947","-0.13927"
"0","-0.0008000000000000001","-0.00873874","-0.0145861","0.027289","-0.168696"
"1","-0.0009000000000000002","-0.00683898","-0.0174096","0.024024","-0.154903"
"2","-0.0010000000000000002","-0.00797718","-0.0134682","0.0226462","-0.162982"
"1","-0.0011000000000000003","-0.00846573","-0.0174996","0.0246179","-0.157257"
"0","-0.0012000000000000003","-0.00745668","-0.0164648","0.0229556","-0.163726"
"0","-0.0013000000000000004","-0.00862502","-0.0167002","0.0234335","-0.157565"
"1","-0.0014000000000000004","-0.00788529","-0.0168109","0.0232157","-0.163591"
"1","-0.0015000000000000005","-0.00849558","-0.0167247","0.0232616","-0.158"
"0","-0.0016000000000000005","-0.00804276","-0.016756","0.0232693","-0.163361"
"2","-0.0017000000000000006","-0.00841941","-0.0166598","0.0230847","-0.158367"
"1","-0.0018000000000000006","-0.00816036","-0.0167611","0.0232577","-0.162725"
"1","-0.0019000000000000006","-0.00840523","-0.0168595","0.0231181","-0.159018"
"1","-0.0020000000000000005","-0.00821228","-0.0167749","0.0231208","-0.162119"
"0","-0.0021000000000000003","-0.00840705","-0.0169361","0.0231234","-0.159446"
"2","-0.0022","-0.00823122","-0.0168435","0.0230916","-0.161783"
"0","-0.0023","-0.00839523","-0.0169173","0.0231025","-0.159719"
"1","-0.0024","-0.00825134","-0.0168663","0.0231002","-0.161536"
"0","-0.0024999999999999996","-0.00837322","-0.0169082","0.0230976","-0.159931"
"2","-0.0025999999999999994","-0.00826764","-0.0168716","0.0230997","-0.161339"
"0","-0.0026999999999999993","-0.00836059","-0.0169065","0.0230919","-0.160092"
"0","-0.002799999999999999","-0.00828254","-0.0168823","0.0230958","-0.161184"
"2","-0.002899999999999999","-0.00848902","-0.0168896","0.0231377","-0.15998"
"2","-0.0029999999999999988","-0.00833958","-0.0170215","0.0231477","-0.161218"
"0","-0.0030999999999999986","-0.00780557","-0.0163165","0.0220748","-0.161304"
"0","-0.0031999999999999984","-0.00865949","-0.0169381","0.0233956","-0.15974"
"1","-0.0032999999999999982","-0.0078638","-0.0168439","0.0226579","-0.162955"
"0","-0.003399999999999998","-0.00854117","-0.0162956","0.0227754","-0.158461"
"1","-0.003499999999999998","-0.00776145","-0.0165058","0.0225812","-0.16382"
"0","-0.0035999999999999977","-0.00821561","-0.0163429","0.0225974","-0.158453"
"1","-0.0036999999999999976","-0.00841861","-0.0171423","0.0236938","-0.163044"
"0","-0.0037999999999999974","-0.00815356","-0.016654","0.0226828","-0.159462"
"2","-0.0038999999999999972","-0.00825701","-0.0162935","0.0228734","-0.161589"
"2","-0.0039999999999999975","-0.00825879","-0.0168545","0.0230571","-0.160076"
"2","-0.004099999999999998","-0.00837037","-0.0168411","0.0232048","-0.161016"
"1","-0.004199999999999998","-0.00801527","-0.0167988","0.0228152","-0.160993"
