"ACTION","REWARD","A0","A1","A2","V"
"0","-0.0001","-0.0291761","-0.0393753","0.0332542","-0.0885267"
"0","-0.0002","-0.00427566","-0.0104855","-0.0237371","-0.128547"
"1","-0.00030000000000000003","-0.0213348","-0.00411934","-0.015417","-0.130003"
"1","-0.0004","-0.012673","-0.0113187","-0.0185357","-0.152625"
"0","-0.0005","-0.0065174","-0.0219717","-0.00864151","-0.182658"
"0","-0.0006000000000000001","-0.0061422","-0.0165947","0.00269947","-0.222457"
"2","-0.0007000000000000001","-0.0033011","-0.0136897","-0.000260048","-0.203597"
"2","-0.0008000000000000001","-0.00736617","-0.0120523","-0.000683386","-0.183681"
"1","-0.0009000000000000002","-0.00681694","-0.0181391","0.00184395","-0.18355"
"1","-0.0010000000000000002","-0.00823625","-0.0189869","0.0030477","-0.186513"
"2","-0.0011000000000000003","-0.00731655","-0.0200409","0.00319863","-0.186574"
"1","-0.0012000000000000003","-0.00828193","-0.0185362","0.0026543","-0.187275"
"0","-0.0013000000000000004","-0.00849514","-0.0185813","0.00206111","-0.184759"
"0","-0.0014000000000000004","-0.00879377","-0.0190467","0.0022892","-0.184339"
"1","-0.0015000000000000005","-0.00871625","-0.0192135","0.00225488","-0.184919"
"1","-0.0016000000000000005","-0.00870344","-0.0189361","0.00195975","-0.184513"
"2","-0.0017000000000000006","-0.0087632","-0.0188714","0.0019074","-0.184038"
"2","-0.0018000000000000006","-0.00888635","-0.0190475","0.00207763","-0.184148"
"1","-0.0019000000000000006","-0.00892034","-0.0190991","0.00213716","-0.184505"
"0","-0.0020000000000000005","-0.00874193","-0.0197903","0.00229702","-0.184243"
"0","-0.0021000000000000003","-0.0088804","-0.0189302","0.00168124","-0.185972"
"1","-0.0022","-0.00901089","-0.01871","0.00143584","-0.184417"
"1","-0.0023","-0.00900039","-0.0188975","0.00162656","-0.184724"
"1","-0.0024","-0.00896899","-0.018838","0.00161184","-0.185142"
"0","-0.0024999999999999996","-0.00896914","-0.0187626","0.00157994","-0.184958"
"0","-0.0025999999999999994","-0.00896911","-0.0187474","0.00160357","-0.185012"
"1","-0.0026999999999999993","-0.0089685","-0.0187468","0.00160987","-0.185001"
"0","-0.002799999999999999","-0.008951","-0.0187665","0.00161622","-0.185002"
"2","-0.002899999999999999","-0.00894116","-0.0187586","0.00161061","-0.185028"
