"ACTION","REWARD","A0","A1","A2","V"
"0","-0.0001","0.0110193","0.0285065","-0.0340823","-0.0455955"
"0","-0.0002","0.00442605","0.0289138","-0.0407324","-0.0252618"
"2","-0.00030000000000000003","0.0114505","0.0279226","-0.0494567","-0.0133275"
"0","-0.0004","0.0115221","0.0210259","-0.0380243","-0.0377376"
"1","-0.0005","0.00756795","0.0246673","-0.0398621","-0.0411787"
"0","-0.0006000000000000001","-0.00902901","0.023261","-0.0230617","-0.0393933"
"2","-0.0007000000000000001","0.00242548","0.0148612","-0.0287043","-0.0494573"
"2","-0.0008000000000000001","0.000348607","0.0175936","-0.0322953","-0.0315196"
"0","-0.0009000000000000002","0.003591","0.0163938","-0.0338541","-0.0323552"
"2","-0.0010000000000000002","0.0016893","0.0149795","-0.031903","-0.0288484"
"1","-0.0011000000000000003","0.00367222","0.0149955","-0.0334811","-0.0286048"
"2","-0.0012000000000000003","0.00243808","0.01526","-0.0322013","-0.0277423"
"2","-0.0013000000000000004","0.00347306","0.014905","-0.0326267","-0.0277458"
"2","-0.0014000000000000004","0.00361914","0.0152886","-0.0325923","-0.0266536"
"2","-0.0015000000000000005","0.00381844","0.0154498","-0.032501","-0.0266949"
"0","-0.0016000000000000005","0.00390538","0.0155505","-0.0324492","-0.026128"
"0","-0.0017000000000000006","0.00407141","0.0157098","-0.0323955","-0.0259056"
"1","-0.0018000000000000006","0.0040898","0.0157917","-0.0321923","-0.025834"
"1","-0.0019000000000000006","0.00459669","0.0157108","-0.0323796","-0.0258254"
"0","-0.0020000000000000005","0.00444767","0.016095","-0.0323687","-0.0258917"
"0","-0.0021000000000000003","0.0045306","0.0161214","-0.0323768","-0.0256636"
"2","-0.0022","0.00458167","0.0161727","-0.0323374","-0.025578"
"2","-0.0023","0.00460631","0.0162314","-0.032279","-0.0255873"
"2","-0.0024","0.00463885","0.0162628","-0.0322387","-0.0255511"
"2","-0.0024999999999999996","0.0046914","0.0162938","-0.0322127","-0.0255239"
"1","-0.0025999999999999994","0.00471762","0.0163206","-0.0321786","-0.025511"
"0","-0.0026999999999999993","0.00475025","0.0163383","-0.0321642","-0.0254879"
"2","-0.002799999999999999","0.0047678","0.016356","-0.0321461","-0.0254708"
"2","-0.002899999999999999","0.00495839","0.0179907","-0.0333438","-0.0248303"
"2","-0.0029999999999999988","0.00375865","0.0155112","-0.0309385","-0.0263017"
"1","-0.0030999999999999986","0.00483925","0.0163838","-0.0326798","-0.0235889"
"2","-0.0031999999999999984","0.00504629","0.0160013","-0.0317939","-0.0260176"
"2","-0.0032999999999999982","0.00407188","0.0166966","-0.0315362","-0.0254928"
"2","-0.003399999999999998","0.00542056","0.0158152","-0.0320249","-0.0256477"
"2","-0.003499999999999998","0.00510917","0.0168191","-0.0319274","-0.027019"
"1","-0.0035999999999999977","0.00421581","0.0175057","-0.0322179","-0.0270612"
"2","-0.0036999999999999976","0.00533394","0.0163945","-0.0326225","-0.023545"
"2","-0.0037999999999999974","0.00433434","0.0169372","-0.031896","-0.0279675"
"2","-0.0038999999999999972","0.0050354","0.0165235","-0.0325957","-0.0238701"
"2","-0.0039999999999999975","0.00400048","0.0158291","-0.0309758","-0.0249704"
"2","-0.004099999999999998","0.00480931","0.0160364","-0.0315355","-0.0248685"
"2","-0.004199999999999998","0.00536027","0.016111","-0.0317165","-0.0260352"
"0","-0.004299999999999998","0.00514195","0.016848","-0.0317394","-0.0273192"
"2","-0.0043999999999999985","0.00447799","0.0174242","-0.032289","-0.0263168"
"2","-0.004499999999999999","0.0050348","0.0166654","-0.0324444","-0.0251968"
"1","-0.004599999999999999","0.00506148","0.0163536","-0.032197","-0.0248568"
"0","-0.004699999999999999","0.00380447","0.01591","-0.0309669","-0.0250719"
"2","-0.0048","0.00573635","0.0166477","-0.0331892","-0.0262735"
"2","-0.0049","0.00420832","0.016946","-0.0321923","-0.0259387"
"1","-0.005","0.00413911","0.015743","-0.0315843","-0.0239738"
"1","-0.0051","0.00521647","0.0168491","-0.0328947","-0.0261272"
"2","-0.005200000000000001","0.00373548","0.0159162","-0.0309377","-0.0228866"
"0","-0.005300000000000001","0.00576078","0.016197","-0.0328482","-0.027888"
"0","-0.005400000000000001","0.00338462","0.015886","-0.0309931","-0.0239974"
"2","-0.005500000000000001","0.00518321","0.0155266","-0.0321578","-0.0251076"
"1","-0.005600000000000002","0.00418136","0.0156249","-0.0311845","-0.0251265"
"2","-0.005700000000000002","0.0053275","0.0167127","-0.0328684","-0.0269569"
"2","-0.005800000000000002","0.00393275","0.0158255","-0.0311807","-0.0226001"
"1","-0.0059000000000000025","0.00544735","0.0164249","-0.0326379","-0.0279156"
"1","-0.006000000000000003","0.00553404","0.0154415","-0.0325166","-0.0226514"
"0","-0.006100000000000003","0.00350362","0.0165867","-0.0314683","-0.0269998"
"1","-0.006200000000000003","0.0041363","0.0153055","-0.0314655","-0.0235644"
"1","-0.0063000000000000035","0.00462979","0.0157008","-0.0316144","-0.0241623"
"2","-0.006400000000000004","0.00511573","0.0152747","-0.0319291","-0.0281096"
"2","-0.006500000000000004","0.0054834","0.0172773","-0.0341682","-0.0286164"
"2","-0.006600000000000004","0.00375539","0.0163245","-0.0326247","-0.0258791"
"0","-0.0067000000000000046","0.00588062","0.0152948","-0.033583","-0.0256339"
"0","-0.006800000000000005","0.00485835","0.0164913","-0.0327493","-0.0249723"
"2","-0.006900000000000005","0.0048912","0.0160283","-0.0322124","-0.0264601"
"2","-0.007000000000000005","0.00510841","0.0160139","-0.0324506","-0.0255973"
"1","-0.007100000000000006","0.00483743","0.0167726","-0.0321475","-0.0263877"
"0","-0.007200000000000006","0.00510777","0.0171233","-0.0329915","-0.0286036"
"0","-0.007300000000000006","0.00482837","0.0166973","-0.0325642","-0.025268"
"2","-0.007400000000000006","0.00536103","0.0173103","-0.0329822","-0.0260294"
"0","-0.007500000000000007","0.00523657","0.0171107","-0.0326469","-0.0260775"
"2","-0.007600000000000007","0.0049169","0.0178095","-0.03315","-0.02638"
"2","-0.007700000000000007","0.00524563","0.0171223","-0.0331306","-0.0261197"
"2","-0.0078000000000000074","0.00515579","0.0168038","-0.0336028","-0.0275464"
"1","-0.007900000000000008","0.00320958","0.0174321","-0.0327694","-0.0244063"
"0","-0.008000000000000007","0.00552098","0.0146413","-0.0326115","-0.0233363"
"1","-0.008100000000000007","0.00359367","0.0170045","-0.0318849","-0.0260171"
"2","-0.008200000000000006","0.00420958","0.0154024","-0.0318122","-0.028345"
"1","-0.008300000000000005","0.00602779","0.0159905","-0.0345835","-0.0269422"
"0","-0.008400000000000005","0.0032736","0.0168711","-0.032701","-0.0262373"
"0","-0.008500000000000004","0.0058196","0.0156309","-0.0344566","-0.0278294"
"0","-0.008600000000000003","0.00433511","0.0168518","-0.0343015","-0.0270481"
"2","-0.008700000000000003","0.0046286","0.0166439","-0.0345459","-0.0272925"
"0","-0.008800000000000002","0.00434744","0.0165913","-0.034415","-0.0269089"
"2","-0.008900000000000002","0.00324815","0.0165844","-0.0332154","-0.0255068"
"2","-0.009000000000000001","0.00416055","0.0156446","-0.0330319","-0.0259057"
"2","-0.0091","0.00645984","0.0147334","-0.0338821","-0.0257294"
"2","-0.0092","0.00419341","0.0172233","-0.0328502","-0.0264952"
"2","-0.0093","0.00561294","0.0160186","-0.0333626","-0.0266673"
"1","-0.009399999999999999","0.0044406","0.017881","-0.0343238","-0.0278226"
"2","-0.009499999999999998","0.00446401","0.0169406","-0.0341544","-0.0263916"
"1","-0.009599999999999997","0.00482263","0.0172001","-0.0344666","-0.0271259"
"0","-0.009699999999999997","0.00435277","0.0168791","-0.0338579","-0.0273606"
"1","-0.009799999999999996","0.00485154","0.0174925","-0.0347408","-0.0260345"
"2","-0.009899999999999996","0.0046667","0.0170523","-0.0338907","-0.0270541"
"2","-0.009999999999999995","0.00551099","0.0150664","-0.0334056","-0.0238521"
"1","-0.010099999999999994","0.0045459","0.01919","-0.0348863","-0.0278054"
"0","-0.010199999999999994","0.00373699","0.016523","-0.0327722","-0.0272199"
"2","-0.010299999999999993","0.00537504","0.0173658","-0.0350169","-0.0258694"
"0","-0.010399999999999993","0.00446642","0.0172569","-0.0335822","-0.0271337"
"1","-0.010499999999999992","0.00454339","0.0168953","-0.0339142","-0.0272182"
"0","-0.010599999999999991","0.00493556","0.0176355","-0.0346952","-0.0254411"
"2","-0.01069999999999999","0.00581807","0.017269","-0.0347034","-0.02587"
"1","-0.01079999999999999","0.00396573","0.0172653","-0.0334384","-0.0284033"
"1","-0.01089999999999999","0.00468762","0.0170221","-0.0347212","-0.0259332"
"2","-0.010999999999999989","0.00505124","0.0170845","-0.0346419","-0.0256226"
"0","-0.011099999999999988","0.00479926","0.0156143","-0.0334302","-0.0266922"
"1","-0.011199999999999988","0.00502633","0.0182292","-0.0352761","-0.026152"
"2","-0.011299999999999987","0.00435964","0.0167335","-0.0334381","-0.0275633"
"2","-0.011399999999999987","0.00516924","0.0168702","-0.0345869","-0.027034"
"1","-0.011499999999999986","0.00481719","0.0172278","-0.0343504","-0.0266714"
"0","-0.011599999999999985","0.00396268","0.0171983","-0.0339637","-0.0281346"
"2","-0.011699999999999985","0.00537037","0.016999","-0.0351122","-0.0252854"
"1","-0.011799999999999984","0.00463853","0.0169298","-0.0339557","-0.0275698"
"1","-0.011899999999999984","0.00567884","0.0172425","-0.0353831","-0.0269707"
"1","-0.011999999999999983","0.00586439","0.015779","-0.0349469","-0.0245727"
"1","-0.012099999999999982","0.00541154","0.014716","-0.0336103","-0.0216637"
"0","-0.012199999999999982","0.0035057","0.0177922","-0.0333112","-0.0263954"
"1","-0.012299999999999981","0.00349433","0.0171134","-0.0330873","-0.0286065"
"2","-0.01239999999999998","0.00404603","0.0162174","-0.03343","-0.0261479"
"2","-0.01249999999999998","0.00476469","0.0162609","-0.0339802","-0.0280952"
"2","-0.01259999999999998","0.00516677","0.0164312","-0.0347501","-0.0264835"
"1","0.09671","0.00683414","0.012958","-0.0336481","-0.0197595"
"2","0.002270000000000003","0.0184794","0.0122902","-0.0426724","0.000317708"
"0","0.0022800000000000025","0.00245325","0.0189669","-0.0281659","-0.0363808"
"0","0.002290000000000003","0.00845192","0.0201471","-0.0358981","-0.0282394"
"0","0.0023000000000000026","0.00449915","0.0217038","-0.0349267","-0.029557"
"1","0.002310000000000003","0.00854271","0.0161753","-0.0324335","-0.029139"
"1","0.0023200000000000026","0.0103089","0.0185302","-0.0336193","-0.0349074"
"2","0.002330000000000003","0.00432485","0.0140696","-0.0263702","-0.0323808"
"2","0.0023400000000000027","0.00742294","0.0199978","-0.0342893","-0.015694"
"1","0.002350000000000003","0.00838576","0.0190151","-0.0322096","-0.0295521"
"2","0.0023600000000000027","0.00732681","0.0168849","-0.0321602","-0.0219511"
"0","0.002370000000000003","0.00939288","0.0174181","-0.0343541","-0.0196319"
"0","0.0023800000000000028","-0.00522982","0.0265391","-0.0284525","-0.00681243"
"2","0.0023900000000000032","0.00679536","0.0174627","-0.0306497","-0.00197727"
"0","0.002400000000000003","0.00270284","0.0173341","-0.0259333","-0.00972177"
"0","0.0024100000000000033","0.00755249","0.0194298","-0.0306772","-0.030894"
"0","0.002420000000000003","0.00350767","0.01719","-0.0284247","-0.0230819"
"2","0.0024300000000000033","0.00993219","0.0101627","-0.0358751","0.0163933"
"2","0.002440000000000003","-0.00430078","0.0123746","-0.0265312","0.00752296"
"2","0.0024500000000000034","-0.00511163","0.02173","-0.0369359","-0.0382352"
"1","0.002460000000000003","-0.0174506","0.0133927","-0.0236911","0.0126396"
"0","-0.3021","0.00980141","0.0249931","-0.0483133","-0.076242"
"2","-0.0022","-0.000903981","0.0114946","-0.0213462","-0.0659797"
"0","-0.0023","0.0137565","0.0103498","-0.0371537","-0.066043"
"0","-0.0024","0.00725315","0.0167543","-0.0386528","-0.0335102"
"1","-0.0024999999999999996","0.0102943","0.0135405","-0.0372761","-0.0351808"
"2","-0.0025999999999999994","0.00720349","0.0147732","-0.0356908","-0.0299988"
"0","-0.0026999999999999993","0.00829491","0.0139273","-0.0363353","-0.0254004"
"0","-0.002799999999999999","0.00413662","0.0161273","-0.033745","-0.0323044"
"0","-0.002899999999999999","0.00575767","0.014411","-0.0347761","-0.0291251"
"2","-0.0029999999999999988","0.00561668","0.0154514","-0.0352852","-0.0278838"
"1","-0.0030999999999999986","0.00253078","0.0154375","-0.0325409","-0.0263955"
"2","-0.0031999999999999984","0.00640012","0.0144584","-0.034994","-0.0326414"
"2","-0.0032999999999999982","0.00436676","0.0174296","-0.036026","-0.0265927"
"2","-0.003399999999999998","0.00440958","0.015165","-0.0336748","-0.0263144"
"2","-0.003499999999999998","0.0047994","0.0152616","-0.0348418","-0.0287582"
"2","-0.0035999999999999977","0.00623668","0.0179583","-0.0372388","-0.0238613"
"1","-0.0036999999999999976","0.00413571","0.0161124","-0.0336936","-0.0221933"
"2","-0.0037999999999999974","0.00489595","0.01578","-0.034661","-0.0280944"
"2","-0.0038999999999999972","0.00436802","0.0149134","-0.0338988","-0.0280536"
"2","-0.0039999999999999975","0.00374872","0.0181852","-0.0352504","-0.0304713"
"2","-0.004099999999999998","0.0046124","0.0163334","-0.0346549","-0.0270955"
"2","-0.004199999999999998","0.00435377","0.0155717","-0.0337849","-0.0266662"
"1","-0.004299999999999998","0.00432503","0.0140888","-0.0334118","-0.0269355"
"1","-0.0043999999999999985","0.00751078","0.0196256","-0.0392561","-0.0282373"
"2","-0.004499999999999999","0.00056351","0.0144158","-0.0300585","-0.0242012"
"2","-0.004599999999999999","0.00690757","0.0170696","-0.0372432","-0.0278729"
"2","-0.004699999999999999","0.00193843","0.0141205","-0.0310923","-0.0262631"
"2","-0.0048","0.00850602","0.0189677","-0.039904","-0.0299739"
"2","-0.0049","0.00177398","0.0176262","-0.0331008","-0.0224697"
"2","-0.005","0.00458267","0.0152113","-0.0347526","-0.0274912"
"2","-0.0051","0.00306304","0.0199985","-0.0357059","-0.030976"
"1","-0.005200000000000001","0.0024693","0.014948","-0.0312152","-0.0222003"
"1","-0.005300000000000001","0.00749706","0.0145432","-0.0359479","-0.0297367"
"2","-0.005400000000000001","0.00156671","0.019727","-0.0333308","-0.0209676"
"1","-0.005500000000000001","0.00582926","0.0151991","-0.0337377","-0.03019"
"2","-0.005600000000000002","0.00247219","0.0172474","-0.0326868","-0.0242474"
"2","-0.005700000000000002","0.00643784","0.0164899","-0.0353118","-0.0274713"
"0","-0.005800000000000002","0.00189043","0.0172637","-0.0317428","-0.0257499"
"1","-0.0059000000000000025","0.00758094","0.014534","-0.0357333","-0.0285035"
"0","-0.006000000000000003","0.00334533","0.0173753","-0.0343006","-0.0236451"
"2","-0.006100000000000003","0.00303556","0.0181416","-0.0331472","-0.02643"
"1","-0.006200000000000003","0.00297709","0.0168069","-0.0321558","-0.0255969"
"1","-0.0063000000000000035","0.00474951","0.0148551","-0.0337564","-0.0254089"
"2","-0.006400000000000004","0.00318803","0.0186575","-0.0334392","-0.0249147"
"0","-0.006500000000000004","0.00715887","0.013118","-0.0336024","-0.0254556"
"0","-0.006600000000000004","0.00122236","0.0199908","-0.0328914","-0.0279808"
"2","-0.0067000000000000046","0.00433522","0.0169014","-0.0333242","-0.0236737"
"2","-0.006800000000000005","0.0039627","0.0169992","-0.032652","-0.0245589"
"2","-0.006900000000000005","0.01006","0.0101648","-0.0347926","-0.0185148"
"2","-0.007000000000000005","0.00412427","0.014594","-0.0337384","-0.0203039"
"0","-0.007100000000000006","0.00124931","0.0262435","-0.0379933","-0.0398897"
"1","-0.007200000000000006","0.00301799","0.0147667","-0.0331856","-0.0195944"
"0","-0.007300000000000006","0.00727648","0.0149114","-0.0353781","-0.0320717"
"0","-0.007400000000000006","0.00245913","0.0179076","-0.034075","-0.0309959"
"0","-0.007500000000000007","0.00514537","0.0182903","-0.0373578","-0.0228598"
"2","-0.007600000000000007","0.00386974","0.0175203","-0.03459","-0.0255653"
"1","-0.007700000000000007","0.00418175","0.0171399","-0.0348768","-0.0265459"
"0","-0.0078000000000000074","0.00566441","0.0167743","-0.035496","-0.0235987"
"0","-0.007900000000000008","0.00359784","0.0161257","-0.0330587","-0.0321009"
"0","-0.008000000000000007","0.0047148","0.0184151","-0.0369305","-0.0229873"
"2","-0.008100000000000007","0.00411777","0.0176956","-0.0348909","-0.0251248"
"0","-0.008200000000000006","0.0039901","0.0170775","-0.0346437","-0.0264687"
"0","-0.008300000000000005","0.00579292","0.016787","-0.0356758","-0.0234101"
"2","-0.008400000000000005","0.0048117","0.0155453","-0.0332584","-0.0304038"
"2","-0.008500000000000004","0.00545878","0.0166153","-0.0353311","-0.0275603"
"0","-0.008600000000000003","0.00433477","0.0149169","-0.0331905","-0.0270854"
"2","-0.008700000000000003","0.0046301","0.019609","-0.0363052","-0.0302012"
"1","-0.008800000000000002","0.00402885","0.0170808","-0.0335966","-0.0239902"
"1","-0.008900000000000002","0.00540317","0.0166292","-0.0340764","-0.0274409"
"0","-0.009000000000000001","0.00460293","0.0169879","-0.0336794","-0.0261847"
"0","-0.0091","0.00674225","0.0131517","-0.0337672","-0.0247915"
"0","-0.0092","0.0050894","0.0167735","-0.0352901","-0.0287057"
"1","-0.0093","0.00448992","0.0163953","-0.0351012","-0.0267982"
"0","-0.009399999999999999","0.00490127","0.0161759","-0.0355322","-0.0269765"
"1","-0.009499999999999998","0.00383948","0.0201692","-0.0363714","-0.0277413"
"1","-0.009599999999999997","0.00435037","0.0165566","-0.033839","-0.0262467"
"2","-0.009699999999999997","0.00431934","0.018232","-0.0355662","-0.0293306"
"2","-0.009799999999999996","0.0070525","0.0112001","-0.0352357","-0.0120007"
"1","-0.009899999999999996","0.00194315","0.0251855","-0.0370677","-0.0360561"
"1","-0.009999999999999995","0.00279438","0.0153705","-0.0318227","-0.0221362"
"0","-0.010099999999999994","0.00606643","0.0168189","-0.035915","-0.0319001"
"2","-0.010199999999999994","0.00568231","0.00937269","-0.0329457","-0.0107982"
"1","-0.010299999999999993","0.00355186","0.0256578","-0.0384742","-0.0390552"
"0","-0.010399999999999993","0.00292462","0.00780103","-0.029735","-0.0129453"
"2","-0.010499999999999992","0.0080089","0.016168","-0.0392435","-0.0254902"
"1","-0.010599999999999991","0.000413002","0.0159091","-0.0321247","-0.0259803"
"0","-0.01069999999999999","0.0027223","0.0231939","-0.0379905","-0.0373833"
"2","-0.01079999999999999","0.00486468","0.00765748","-0.0319175","-0.0131267"
"1","-0.01089999999999999","0.00668937","0.0157926","-0.0379167","-0.0283878"
"2","-0.010999999999999989","0.0013895","0.0151294","-0.0332228","-0.0259347"
"1","-0.011099999999999988","0.00507499","0.0142634","-0.036679","-0.02575"
"2","-0.011199999999999988","0.00317541","0.0148019","-0.0350347","-0.025272"
"1","-0.011299999999999987","0.00369482","0.0142455","-0.0352804","-0.0275109"
"2","-0.011399999999999987","0.00372441","0.0144063","-0.0356432","-0.0259746"
"1","-0.011499999999999986","0.00375665","0.014425","-0.0355438","-0.0267188"
"1","-0.011599999999999985","0.00151948","0.0230869","-0.0370989","-0.0378294"
"0","-0.011699999999999985","0.00319072","0.00689184","-0.0313342","-0.0201811"
"1","-0.011799999999999984","0.00609641","0.0200638","-0.0400715","-0.0346111"
"2","-0.011899999999999984","0.000672627","0.0146216","-0.0313097","-0.0304969"
"2","-0.011999999999999983","0.00655063","0.0152061","-0.0371929","-0.031365"
"2","-0.012099999999999982","0.00356308","0.0161613","-0.0350386","-0.0242249"
"1","-0.012199999999999982","0.00436463","0.0104133","-0.0342832","-0.0240684"
"1","-0.012299999999999981","0.00363564","0.023331","-0.0398304","-0.0306799"
"2","-0.01239999999999998","0.000847815","0.00945536","-0.0303706","-0.0204383"
"1","-0.01249999999999998","0.00590687","0.0143912","-0.0389188","-0.0280767"
"2","-0.01259999999999998","0.000394061","0.0150735","-0.034186","-0.0269676"
"1","-0.012699999999999979","0.00297444","0.0190188","-0.0373303","-0.0339494"
"0","-0.012799999999999978","0.0026593","0.00921997","-0.0325975","-0.0229713"
"0","-0.012899999999999977","0.00449195","0.020907","-0.039805","-0.0325042"
"1","-0.012999999999999977","0.000782322","0.0147632","-0.0317538","-0.028689"
"0","-0.013099999999999976","0.00594027","0.015143","-0.0371628","-0.0284101"
"1","-0.013199999999999976","0.00245582","0.0178335","-0.0344342","-0.0297219"
"2","-0.013299999999999975","0.00425527","0.0154578","-0.0343661","-0.0288258"
"0","-0.013399999999999974","0.00470402","0.0144543","-0.0344065","-0.0241094"
"0","-0.013499999999999974","0.004033","0.0173057","-0.0350853","-0.0328139"
"2","-0.013599999999999973","0.00372256","0.0163609","-0.0343444","-0.0246773"
"2","-0.013699999999999973","0.0047968","0.0163009","-0.0344252","-0.0272491"
"2","-0.013799999999999972","0.00554369","0.0138907","-0.0352178","-0.0250918"
"0","-0.013899999999999971","0.00349744","0.0182436","-0.0361446","-0.0245803"
"2","-0.01399999999999997","0.00358203","0.016083","-0.034072","-0.0246446"
"2","-0.01409999999999997","0.00424051","0.0161812","-0.0347034","-0.0254087"
"2","-0.01419999999999997","0.00505266","0.0157384","-0.0346398","-0.0257619"
"0","-0.014299999999999969","0.00260641","0.0152111","-0.0318529","-0.029119"
"1","-0.014399999999999968","0.00436028","0.0171679","-0.0351661","-0.0326588"
"1","-0.014499999999999968","0.00420053","0.0169143","-0.0346639","-0.0243172"
"1","-0.014599999999999967","0.00399463","0.0181974","-0.0354612","-0.0342971"
"2","-0.014699999999999967","0.00813613","0.0127514","-0.0366033","-0.0187029"
"1","-0.014799999999999966","0.00136931","0.019465","-0.0335832","-0.025844"
"0","-0.014899999999999965","0.00803289","0.0137363","-0.0354927","-0.0231309"
"1","-0.014999999999999965","6.31241e-05","0.0189322","-0.0319757","-0.0266969"
"2","-0.015099999999999964","0.00517093","0.0175442","-0.0356271","-0.0244003"
"0","-0.015199999999999964","0.00488885","0.0139548","-0.0334677","-0.0268995"
"0","-0.015299999999999963","0.00278406","0.0196364","-0.0353713","-0.0284217"
"0","-0.015399999999999962","0.0041576","0.0175064","-0.034332","-0.0228844"
"1","-0.015499999999999962","0.00462034","0.0175153","-0.0338967","-0.0253744"
"1","-0.015599999999999961","0.00432404","0.0176595","-0.0335072","-0.0250227"
"1","-0.01569999999999996","0.00625911","0.0138427","-0.0335622","-0.0288042"
"1","-0.01579999999999996","0.00494518","0.0150016","-0.0346535","-0.0263534"
"2","-0.01589999999999996","0.00268406","0.0186637","-0.0336919","-0.0315153"
"2","-0.01599999999999996","0.00419618","0.0157206","-0.0335411","-0.027104"
"2","-0.016099999999999958","0.00451619","0.0162593","-0.034229","-0.0260716"
"2","-0.016199999999999957","0.00640908","0.0121291","-0.0343474","-0.0214362"
"2","-0.016299999999999957","0.00380598","0.0171978","-0.0350601","-0.0298561"
"2","-0.016399999999999956","0.00179916","0.0193109","-0.0344845","-0.027437"
"1","-0.016499999999999956","0.00828748","0.0139476","-0.0359125","-0.0218447"
"2","-0.016599999999999955","0.00073026","0.018754","-0.0306476","-0.0343344"
"2","-0.016699999999999954","0.00823145","0.0140563","-0.0367325","-0.0227125"
"0","-0.016799999999999954","0.0017985","0.0193856","-0.0325471","-0.02888"
"0","-0.016899999999999953","0.00308751","0.0159912","-0.0327531","-0.0277523"
"2","-0.016999999999999953","0.00470404","0.0174014","-0.0352615","-0.0208614"
"1","-0.017099999999999952","0.00325583","0.0169832","-0.0324377","-0.0258942"
"2","-0.01719999999999995","0.00696432","0.0112207","-0.0340658","-0.0202906"
"2","-0.01729999999999995","0.00135765","0.0202598","-0.0334021","-0.0285603"
"1","-0.01739999999999995","0.00588822","0.0107498","-0.033026","-0.0223246"
"0","-0.01749999999999995","0.00411948","0.0174901","-0.0357061","-0.0284453"
"2","-0.01759999999999995","0.00262048","0.0202312","-0.0359521","-0.0321164"
"0","-0.01769999999999995","0.00246322","0.0118557","-0.0323286","-0.0179867"
"0","-0.017799999999999948","0.006434","0.0155651","-0.0362687","-0.0319013"
"2","-0.017899999999999947","0.00127862","0.0163998","-0.0332707","-0.0305788"
"0","-0.017999999999999947","0.00512202","0.0158205","-0.0367289","-0.0283992"
"1","-0.018099999999999946","0.00115408","0.022898","-0.0361134","-0.0279473"
"2","-0.018199999999999945","0.00321086","0.0185645","-0.0340555","-0.0239667"
"2","-0.018299999999999945","0.00530499","0.0120923","-0.032275","-0.0238182"
"1","-0.018399999999999944","0.00877115","0.0155084","-0.0366769","-0.0246549"
