"ACTION","REWARD","A0","A1","A2","V"
"2","-0.0001","0.0160989","0.015582","-0.0216189","-0.0275477"
"2","-0.0002","-0.00320409","0.0297918","-0.0164995","-0.0274477"
"2","-0.00030000000000000003","0.00707798","0.0152811","-0.0169544","-0.0490773"
"2","-0.0004","-0.00472416","0.0249058","-0.0194782","-0.0588699"
"1","-0.0005","-0.00221672","0.0224241","-0.0248207","-0.051256"
"2","-0.0006000000000000001","-0.00114182","-0.00814407","-0.00704009","-0.0884444"
"0","-0.0007000000000000001","-0.0120086","0.0220121","-0.0269223","-0.0590827"
"1","-0.0008000000000000001","-0.00325776","6.50178e-05","-0.0186795","-0.0644491"
"2","-0.0009000000000000002","-0.00754776","0.0043978","-0.0205878","-0.0675992"
"0","-0.0010000000000000002","-0.00742205","0.00244803","-0.0210065","-0.0629428"
"2","-0.0011000000000000003","-0.00779054","0.0019467","-0.0210316","-0.0654111"
"2","-0.0012000000000000003","-0.00825765","0.00102528","-0.0209782","-0.0629019"
"1","-0.0013000000000000004","-0.00818589","0.000999095","-0.0216357","-0.0642696"
"1","-0.0014000000000000004","-0.0087572","0.000588606","-0.0215809","-0.0624672"
"2","-0.0015000000000000005","-0.00850123","0.000348086","-0.0220825","-0.0631319"
"2","-0.0016000000000000005","-0.00897842","9.80757e-05","-0.022002","-0.0622833"
"0","-0.0017000000000000006","-0.00884208","1.12616e-05","-0.0223962","-0.0623675"
"2","-0.0018000000000000006","-0.00910927","-0.00021997","-0.0223042","-0.0620288"
"2","-0.0019000000000000006","-0.00911876","-8.44896e-05","-0.0225409","-0.0618417"
"2","-0.0020000000000000005","-0.00913986","-0.000392195","-0.0224166","-0.0617547"
"1","-0.0021000000000000003","-0.00919296","-0.000334715","-0.0225311","-0.0617798"
"2","-0.0022","-0.00925848","-0.000414188","-0.0225189","-0.0616323"
"1","-0.0023","-0.00926962","-0.000436904","-0.0225691","-0.0616509"
"0","-0.0024","-0.00932631","-0.000483884","-0.0225598","-0.0615921"
"1","-0.0024999999999999996","-0.00934373","-0.000490693","-0.0225999","-0.0615877"
"2","-0.0025999999999999994","-0.00938139","-0.000521064","-0.0225985","-0.0615586"
"0","-0.0026999999999999993","-0.00939756","-0.000529009","-0.0226232","-0.061553"
"1","-0.002799999999999999","-0.00942333","-0.000546413","-0.0226264","-0.0615406"
"1","-0.002899999999999999","-0.00939528","-0.000715825","-0.0226353","-0.0616449"
"0","-0.0029999999999999988","-0.0095319","-0.000569914","-0.0227094","-0.0615974"
"0","-0.0030999999999999986","-0.00943193","-0.000599188","-0.022709","-0.0615943"
"1","-0.0031999999999999984","-0.00947308","-0.000496848","-0.0227078","-0.0615241"
"0","-0.0032999999999999982","-0.00941487","-0.000569837","-0.0226748","-0.0615107"
"1","-0.003399999999999998","-0.00953542","-0.000369731","-0.0228706","-0.0614061"
"2","-0.003499999999999998","-0.00950227","-0.000584958","-0.0228166","-0.0613524"
"2","-0.0035999999999999977","-0.00949076","-0.000515765","-0.0228279","-0.0612239"
"2","-0.0036999999999999976","-0.00948648","-0.000694356","-0.0227772","-0.0616459"
"2","-0.0037999999999999974","-0.00951827","-0.000604131","-0.022739","-0.0614264"
"0","-0.0038999999999999972","-0.00954271","-0.000494573","-0.02285","-0.0612758"
"0","-0.0039999999999999975","-0.00926853","-0.000763205","-0.0228287","-0.0614799"
"0","-0.004099999999999998","-0.00947709","-0.000566499","-0.0227907","-0.0615858"
"2","-0.004199999999999998","-0.00941117","-0.000573265","-0.0228447","-0.0613733"
"0","-0.004299999999999998","-0.00942718","-0.000612986","-0.0227901","-0.0615873"
"1","-0.0043999999999999985","-0.00967962","-0.000606818","-0.0225689","-0.0613289"
"0","-0.004499999999999999","-0.0094952","-0.000633763","-0.0226714","-0.061568"
"1","-0.004599999999999999","-0.00927316","-0.000596756","-0.0228241","-0.0621755"
"1","-0.004699999999999999","-0.00988603","-3.80185e-05","-0.0229729","-0.061301"
"0","-0.0048","-0.00939186","-0.000738368","-0.0229508","-0.0615642"
"1","-0.0049","-0.00947512","-0.000149116","-0.0231745","-0.0613087"
"1","-0.005","-0.00936131","-0.000287152","-0.0230082","-0.0611059"
"0","-0.0051","-0.00929941","-0.000660384","-0.0226416","-0.061104"
"1","-0.005200000000000001","-0.00932526","-0.000369043","-0.022786","-0.062187"
"0","-0.005300000000000001","-0.00948962","-0.000123262","-0.0228769","-0.0609679"
"2","-0.005400000000000001","-0.0094571","9.48668e-05","-0.0231723","-0.0603072"
"0","-0.005500000000000001","-0.00936462","-0.000776502","-0.0227019","-0.0615289"
"0","-0.005600000000000002","-0.00950057","-0.000535727","-0.0227861","-0.0626149"
"2","-0.005700000000000002","-0.00971142","0.000167494","-0.0231456","-0.0610497"
"1","-0.005800000000000002","-0.00921451","-0.000656272","-0.022798","-0.061827"
"1","-0.0059000000000000025","-0.00943743","-0.000692178","-0.0225731","-0.0613301"
"1","-0.006000000000000003","-0.00933554","-0.00061433","-0.0226835","-0.0627549"
"2","-0.006100000000000003","-0.00968882","0.000709862","-0.0236285","-0.0593457"
"2","-0.006200000000000003","-0.00872384","-0.00224731","-0.021828","-0.0637749"
"0","-0.0063000000000000035","-0.0101626","0.00167114","-0.0240161","-0.0596641"
"1","-0.006400000000000004","-0.00878348","-0.00249092","-0.0218785","-0.0639417"
"2","-0.006500000000000004","-0.0102652","0.00165078","-0.0241666","-0.0593234"
"2","-0.006600000000000004","-0.00877736","-0.00171284","-0.0227297","-0.061879"
"2","-0.0067000000000000046","-0.00986252","-0.00101138","-0.0224959","-0.0638096"
"1","-0.006800000000000005","-0.00990246","0.00037935","-0.0233728","-0.0603077"
"0","-0.006900000000000005","-0.00916508","-0.00106971","-0.0224545","-0.0626228"
"2","-0.007000000000000005","-0.00974938","-0.000185854","-0.0226127","-0.0615775"
"0","-0.007100000000000006","-0.00935246","-0.00034637","-0.0226688","-0.0619549"
"2","-0.007200000000000006","-0.0095007","0.000201709","-0.0232648","-0.0610002"
"0","-0.007300000000000006","-0.0092389","-0.000633367","-0.0230239","-0.0615243"
"2","-0.007400000000000006","-0.00933358","-0.00131227","-0.0227232","-0.0629986"
"0","-0.007500000000000007","-0.00975085","-0.000328055","-0.0233893","-0.0616639"
"0","-0.007600000000000007","-0.00944976","-0.00103625","-0.0228752","-0.0617278"
"2","-0.007700000000000007","-0.00951029","-0.000907931","-0.0228009","-0.0623122"
"1","-0.0078000000000000074","-0.00962109","-0.000591619","-0.0228766","-0.0618411"
"0","-0.007900000000000008","-0.0094033","-0.0013349","-0.0226298","-0.0627304"
"1","-0.008000000000000007","-0.00965992","-0.000887024","-0.0229197","-0.0622323"
"2","-0.008100000000000007","-0.00947042","-0.00121282","-0.0228796","-0.0623771"
"0","-0.008200000000000006","-0.00959845","-0.000612191","-0.0232634","-0.061771"
"1","-0.008300000000000005","-0.00935378","-0.00177812","-0.0225867","-0.0627295"
"1","-0.008400000000000005","-0.00968634","-0.000899955","-0.0230587","-0.0624701"
"1","-0.008500000000000004","-0.00956137","-0.000690517","-0.0233015","-0.0615867"
