"ACTION","REWARD","A0","A1","A2","V"
"2","-0.0001","0.0016312","-0.0379685","0.0291476","-0.107557"
"0","-0.0002","-0.00476984","-0.00623794","-0.00102746","-0.10533"
"0","-0.00030000000000000003","-0.0289089","-0.00120805","0.0131954","-0.0951298"
"2","-0.0004","-0.0178209","-0.0273482","0.0185653","-0.124937"
"1","-0.0005","-0.0248207","-0.0185115","0.0136571","-0.1184"
"0","-0.0006000000000000001","-0.0248602","-0.0306064","0.0219473","-0.133814"
"2","-0.0007000000000000001","-0.0206331","-0.0373626","0.024084","-0.144618"
"0","-0.0008000000000000001","-0.0241503","-0.0265282","0.0197732","-0.144306"
"1","-0.0009000000000000002","-0.0249623","-0.0288166","0.0222961","-0.144236"
"2","-0.0010000000000000002","-0.0243794","-0.0275692","0.020482","-0.143965"
"1","-0.0011000000000000003","-0.0251245","-0.029244","0.0219767","-0.145133"
"2","-0.0012000000000000003","-0.0241456","-0.0292461","0.0209615","-0.146072"
"1","-0.0013000000000000004","-0.024857","-0.0288265","0.0213212","-0.146424"
"2","-0.0014000000000000004","-0.0243851","-0.0288064","0.0209028","-0.146772"
"1","-0.0015000000000000005","-0.0248757","-0.0284059","0.0208525","-0.146403"
"2","-0.0016000000000000005","-0.0248083","-0.0288249","0.0207999","-0.146661"
"0","-0.0017000000000000006","-0.0250714","-0.0287679","0.0206009","-0.14662"
"1","-0.0018000000000000006","-0.0252395","-0.0289289","0.0205523","-0.146726"
"2","-0.0019000000000000006","-0.025371","-0.0289493","0.0204238","-0.146759"
"2","-0.0020000000000000005","-0.0254523","-0.029005","0.0203094","-0.146829"
"1","-0.0021000000000000003","-0.0255638","-0.0290688","0.0202383","-0.146615"
"2","-0.0022","-0.0256229","-0.0292858","0.0202481","-0.146814"
"2","-0.0023","-0.0256736","-0.0293154","0.0201068","-0.146809"
"0","-0.0024","-0.0258016","-0.0293077","0.0200658","-0.146788"
"0","-0.0024999999999999996","-0.0258269","-0.0293711","0.020026","-0.146822"
"2","-0.0025999999999999994","-0.0258844","-0.029355","0.0199831","-0.146776"
"1","-0.0026999999999999993","-0.0259067","-0.0294156","0.019981","-0.146798"
"1","-0.002799999999999999","-0.0259261","-0.0294338","0.0199407","-0.146798"
"2","-0.002899999999999999","-0.0259632","-0.0294508","0.0199196","-0.146793"
"0","-0.0029999999999999988","-0.0253872","-0.0291902","0.0192893","-0.147614"
"2","-0.0030999999999999986","-0.0263274","-0.029112","0.0199226","-0.146293"
"1","-0.0031999999999999984","-0.0257594","-0.0293908","0.0197115","-0.146962"
"2","-0.0032999999999999982","-0.0260718","-0.0294701","0.0199341","-0.147011"
"2","-0.003399999999999998","-0.0258479","-0.0292448","0.0196182","-0.146641"
"0","-0.003499999999999998","-0.0261","-0.0294866","0.0200097","-0.147101"
"2","-0.0035999999999999977","-0.0258837","-0.0294373","0.019764","-0.146688"
"1","-0.0036999999999999976","-0.0261372","-0.029364","0.0199564","-0.146935"
"2","-0.0037999999999999974","-0.0261898","-0.0292934","0.0198729","-0.146988"
"1","-0.0038999999999999972","-0.0259095","-0.0293902","0.0197475","-0.146263"
"1","-0.0039999999999999975","-0.0260707","-0.0296934","0.0201359","-0.147289"
"1","-0.004099999999999998","-0.0258443","-0.0294209","0.0196577","-0.146875"
"0","-0.004199999999999998","-0.026162","-0.0292088","0.0197863","-0.146961"
"1","-0.004299999999999998","-0.0258637","-0.029426","0.019693","-0.146669"
"2","-0.0043999999999999985","-0.0260554","-0.0293389","0.019828","-0.146797"
"2","-0.004499999999999999","-0.0259984","-0.0291748","0.0196201","-0.147411"
"2","-0.004599999999999999","-0.0255825","-0.0292643","0.0192139","-0.146315"
"2","-0.004699999999999999","-0.026348","-0.0290544","0.019787","-0.147825"
"1","-0.0048","-0.0255382","-0.0294536","0.0193338","-0.146097"
"0","-0.0049","-0.026417","-0.0291676","0.0200309","-0.14744"
"0","-0.005","-0.0253904","-0.0296596","0.0194345","-0.146676"
"0","-0.0051","-0.0262702","-0.0289919","0.019767","-0.146882"
"2","-0.005200000000000001","-0.0256458","-0.0297214","0.0197084","-0.147266"
"0","-0.005300000000000001","-0.0260796","-0.0288941","0.0194675","-0.146681"
"1","-0.005400000000000001","-0.0260673","-0.0294372","0.0198807","-0.147309"
"2","-0.005500000000000001","-0.0258877","-0.0290693","0.019455","-0.1466"
"2","-0.005600000000000002","-0.02593","-0.0294297","0.019859","-0.146665"
"1","-0.005700000000000002","-0.0258871","-0.0295027","0.0198578","-0.147595"
"1","-0.005800000000000002","-0.0258611","-0.0291976","0.0195674","-0.146236"
"2","-0.0059000000000000025","-0.0259961","-0.0293511","0.0199202","-0.147486"
"2","-0.006000000000000003","-0.0257203","-0.0292446","0.0195","-0.146811"
"1","-0.006100000000000003","-0.0262364","-0.0289866","0.0197925","-0.147035"
"2","-0.006200000000000003","-0.0257775","-0.0294435","0.0196977","-0.146768"
"0","-0.0063000000000000035","-0.0260502","-0.0291376","0.0196853","-0.147072"
"1","-0.006400000000000004","-0.0259427","-0.0293392","0.0197172","-0.146806"
"0","-0.006500000000000004","-0.0260535","-0.0291407","0.0196834","-0.147005"
"2","-0.006600000000000004","-0.0259404","-0.0292399","0.019603","-0.14691"
"2","-0.0067000000000000046","-0.0260338","-0.0291764","0.0196259","-0.146652"
"1","-0.006800000000000005","-0.0260064","-0.0294575","0.019821","-0.146932"
"1","-0.006900000000000005","-0.0261225","-0.0291225","0.0196574","-0.147274"
"2","-0.007000000000000005","-0.0259183","-0.0292251","0.0195471","-0.146342"
"2","-0.007100000000000006","-0.0260476","-0.0293666","0.0197944","-0.147257"
"1","-0.007200000000000006","-0.0259036","-0.0293002","0.019567","-0.146702"
"2","-0.007300000000000006","-0.0262956","-0.02899","0.0197381","-0.147167"
"0","-0.007400000000000006","-0.0257702","-0.0294164","0.0195556","-0.146469"
"2","-0.007500000000000007","-0.0263321","-0.0290234","0.0198033","-0.147307"
"1","0.09620000000000001","-0.0258401","-0.0293066","0.0195283","-0.146702"
"0","0.0017600000000000014","-0.0258213","-0.0291491","0.0196112","-0.146498"
"0","0.0017700000000000014","-0.0259015","-0.0296645","0.0200702","-0.149552"
"1","0.0017800000000000014","-0.0259371","-0.0277261","0.0185353","-0.146347"
"0","0.0017900000000000014","-0.0266101","-0.02878","0.0199992","-0.147168"
"2","0.0018000000000000015","-0.0254654","-0.0293727","0.0192956","-0.146949"
"1","0.0018100000000000015","-0.0261189","-0.0289348","0.0194086","-0.147872"
"0","0.0018200000000000015","-0.0262299","-0.0285798","0.0190911","-0.147582"
"0","0.0018300000000000015","-0.0258892","-0.0293157","0.0193176","-0.14631"
"2","0.0018400000000000016","-0.0260838","-0.0294598","0.0195844","-0.147624"
"1","0.0018500000000000016","-0.0259075","-0.0293719","0.0192224","-0.146833"
"2","0.0018600000000000016","-0.0265175","-0.028897","0.0196251","-0.147537"
"2","0.0018700000000000017","-0.0259624","-0.0293311","0.0192975","-0.145276"
"1","0.0018800000000000017","-0.0265182","-0.0296343","0.0201926","-0.148055"
"0","0.0018900000000000017","-0.0254809","-0.0293135","0.0187738","-0.146175"
"0","0.0019000000000000017","-0.0268577","-0.0290009","0.0199761","-0.146903"
"0","0.0019100000000000018","-0.0255267","-0.0298589","0.019431","-0.147276"
"2","0.0019200000000000018","-0.0263538","-0.0288772","0.0194974","-0.145728"
