"ACTION","REWARD","A0","A1","A2","V"
"0","-0.0001","0.0227545","-0.0206734","-0.00568702","-0.0737069"
"0","-0.0002","0.0146051","-0.0294309","-0.00193974","-0.0579106"
"2","-0.00030000000000000003","0.0072424","-0.00520465","-0.0158992","-0.101086"
"0","-0.0004","0.00284985","0.00119777","-0.015667","-0.0877991"
"0","-0.0005","0.00247443","-0.00190111","-0.0127381","-0.0918767"
"1","-0.0006000000000000001","-0.00426565","-0.00190114","-0.00551475","-0.093118"
"1","-0.0007000000000000001","-0.00582688","0.00649156","0.00164596","-0.121533"
"1","-0.0008000000000000001","-0.00460558","0.00384295","0.00319002","-0.104596"
"0","-0.0009000000000000002","0.000105371","0.000596267","0.00102813","-0.0986403"
"1","-0.0010000000000000002","0.000428111","0.00304078","-0.000799329","-0.0915735"
"1","-0.0011000000000000003","-0.000873913","0.00433931","0.000183047","-0.0909777"
"2","-0.0012000000000000003","-0.00091876","0.00489183","-0.000161852","-0.0894836"
"2","-0.0013000000000000004","-0.00115593","0.00409955","0.000815827","-0.0884143"
"0","-0.0014000000000000004","-0.00109298","0.00392357","0.000885548","-0.0890417"
"0","-0.0015000000000000005","-0.00129628","0.00398432","0.00111168","-0.0894036"
"0","-0.0016000000000000005","-0.00151292","0.00426935","0.00111305","-0.0902111"
"1","-0.0017000000000000006","-0.00149576","0.0045143","0.000970748","-0.0900574"
"0","-0.0018000000000000006","-0.00130827","0.00457323","0.000908095","-0.089725"
"1","-0.0019000000000000006","-0.00114606","0.00464665","0.000831087","-0.0893304"
"1","-0.0020000000000000005","-0.00138382","0.00435564","0.00119103","-0.0887403"
"0","-0.0021000000000000003","-0.00124814","0.00461922","0.000841214","-0.0892163"
"2","-0.0022","-0.00143063","0.00464781","0.00114049","-0.0892868"
"1","-0.0023","-0.00140016","0.00470612","0.0011179","-0.0897115"
"1","-0.0024","-0.00134641","0.00468586","0.00113295","-0.0895332"
"1","-0.0024999999999999996","-0.00130513","0.00467396","0.00114334","-0.0896552"
"1","-0.0025999999999999994","-0.00129458","0.0047316","0.00110033","-0.0896006"
"1","-0.0026999999999999993","-0.00129304","0.0047315","0.0011255","-0.0896247"
"1","-0.002799999999999999","-0.00128841","0.00475149","0.00111638","-0.0896129"
"1","-0.002899999999999999","-0.00127804","0.00473931","0.00113415","-0.0896063"
"1","-0.0029999999999999988","-0.00127663","0.00474259","0.00113938","-0.0896241"
"1","-0.0030999999999999986","-0.000989683","0.00469848","0.00104757","-0.0897178"
"0","-0.0031999999999999984","-0.00125355","0.00596858","0.000172734","-0.090729"
"1","-0.0032999999999999982","-0.00242104","0.00504902","0.00144007","-0.0894594"
"0","-0.003399999999999998","-0.00121458","0.00426295","0.000401174","-0.0894798"
"2","-0.003499999999999998","-0.00133038","0.00403011","0.000722115","-0.0885279"
"0","-0.0035999999999999977","-0.00164382","0.00457201","0.000646802","-0.0893173"
"0","-0.0036999999999999976","-0.00158979","0.00432673","0.000945337","-0.0903985"
"0","-0.0037999999999999974","-0.0017871","0.00444923","0.000861271","-0.0904518"
"2","-0.0038999999999999972","-0.00146058","0.00427228","0.000617875","-0.0900118"
"0","-0.0039999999999999975","-0.0014283","0.00424306","0.000610718","-0.0896631"
"2","-0.004099999999999998","-0.000266573","0.00357395","0.000698861","-0.089244"
"2","-0.004199999999999998","-0.00143511","0.00478069","0.00114304","-0.0911302"
"2","-0.004299999999999998","-0.00111915","0.00451865","0.00107729","-0.0904457"
"1","-0.0043999999999999985","-0.000787599","0.00538852","3.67374e-05","-0.0909673"
"1","-0.004499999999999999","-0.00196242","0.00632599","0.000578939","-0.0894628"
"2","-0.004599999999999999","0.000111184","0.00384729","0.000585624","-0.091333"
"0","-0.004699999999999999","-0.00266965","0.00578833","0.000639744","-0.0887678"
"1","-0.0048","0.000388766","0.00358414","8.16761e-05","-0.0911518"
"0","-0.0049","-0.00186685","0.00540446","0.000620501","-0.0892418"
"0","-0.005","-0.00198025","0.0049622","0.000789965","-0.0906652"
"0","-0.0051","-0.00144856","0.00486659","0.000111849","-0.090454"
"2","-0.005200000000000001","-0.00148748","0.00468401","6.42706e-05","-0.0904179"
"1","-0.005300000000000001","-0.00129302","0.00470265","-0.000353338","-0.0898976"
"0","-0.005400000000000001","-0.00016145","0.00388973","-0.000243126","-0.0896806"
"0","-0.005500000000000001","-0.00280613","0.00582527","0.000512696","-0.08997"
"0","-0.005600000000000002","-0.00100613","0.00433913","5.74668e-05","-0.0910921"
"1","-0.005700000000000002","-0.00180189","0.00477326","0.000131872","-0.0901209"
"0","-0.005800000000000002","-0.00116637","0.00447106","-0.000331272","-0.0904901"
"0","-0.0059000000000000025","-0.00138793","0.00489793","-0.000547672","-0.0896553"
"2","-0.006000000000000003","-0.00120044","0.00399069","0.000300279","-0.0889349"
"1","-0.006100000000000003","-0.000700319","0.00416811","-0.000146305","-0.0905021"
"2","-0.006200000000000003","-0.00291452","0.00485","0.000616038","-0.0903276"
"1","-0.0063000000000000035","6.53819e-05","0.0043405","-0.00171945","-0.092251"
"0","-0.006400000000000004","-0.00323565","0.00473727","0.000494902","-0.088448"
"0","-0.006500000000000004","0.000430258","0.00391855","-0.00199448","-0.0926012"
"1","-0.006600000000000004","-0.00203256","0.00515967","-0.000577936","-0.0896014"
"1","-0.0067000000000000046","-0.000882098","0.0043598","-0.00101394","-0.0920191"
"0","-0.006800000000000005","-0.00262614","0.0046567","-3.96566e-05","-0.0899558"
"0","-0.006900000000000005","-0.000802855","0.0035839","-0.000761023","-0.0909646"
"2","-0.007000000000000005","-0.00160722","0.00452864","-0.000466942","-0.0900477"
"1","-0.007100000000000006","-0.00132755","0.00443215","-0.000400541","-0.0913924"
"2","-0.007200000000000006","-0.00208569","0.00486229","-0.000265499","-0.0914257"
"0","-0.007300000000000006","-0.00104058","0.00388905","-0.000521207","-0.0906785"
"0","-0.007400000000000006","-0.00189614","0.00472322","-0.000483967","-0.0907869"
"1","-0.007500000000000007","-0.00142532","0.00411298","-0.00052852","-0.0909609"
"1","-0.007600000000000007","-0.00175281","0.00421677","-0.000521943","-0.0904264"
"0","-0.007700000000000007","-0.0010279","0.00382117","-0.000711369","-0.0898285"
"1","-0.0078000000000000074","-0.000789816","0.00644768","-0.00224837","-0.0913774"
"0","-0.007900000000000008","-0.00130315","0.00522122","-0.000496116","-0.092241"
"2","-0.008000000000000007","-0.0020331","0.00452273","-0.000385405","-0.0913702"
"0","-0.008100000000000007","-0.000583016","0.0039852","-0.0015103","-0.0914506"
"2","-0.008200000000000006","-0.000674059","0.0058851","-0.00247417","-0.0918537"
"2","-0.008300000000000005","-0.000900174","0.00512212","-0.00158327","-0.0909136"
"0","-0.008400000000000005","-0.00451442","0.00251268","0.00163902","-0.0884261"
"1","-0.008500000000000004","0.000914438","0.00496542","-0.00512428","-0.0945844"
"2","-0.008600000000000003","-0.00264953","0.00436509","-0.000100061","-0.0884969"
"0","-0.008700000000000003","-0.00373439","0.00267209","0.000745677","-0.0914391"
"2","-0.008800000000000002","0.000664145","0.00508796","-0.00479592","-0.0932753"
"1","-0.008900000000000002","-0.00237813","0.00412003","-0.000120764","-0.0894958"
"0","-0.009000000000000001","-0.000485287","0.00302176","-0.000937643","-0.0922611"
"0","-0.0091","-0.00251898","0.00493734","-0.00138743","-0.0901423"
"0","-0.0092","-0.00162696","0.00417479","-0.00159995","-0.0942612"
"0","-0.0093","-0.00170467","0.0041068","-0.00177052","-0.0899437"
"0","-0.009399999999999999","-0.00119188","0.00346382","-0.00123061","-0.0913106"
"1","-0.009499999999999998","-0.00149526","0.00410636","-0.00142385","-0.0911444"
"2","-0.009599999999999997","-0.00123433","0.00404875","-0.00138388","-0.0917196"
"1","-0.009699999999999997","-0.00364164","0.00346604","0.00020003","-0.0885405"
"0","-0.009799999999999996","0.000182569","0.00435997","-0.00381552","-0.0954549"
"2","-0.009899999999999996","-0.00448783","0.00381536","0.000321271","-0.0854639"
"1","-0.009999999999999995","-0.0017133","0.00313792","-0.00232822","-0.0943507"
"0","-0.010099999999999994","-0.00106658","0.00497149","-0.0036751","-0.0916155"
"0","-0.010199999999999994","-0.00413763","0.0029546","0.000584775","-0.0883641"
"2","-0.010299999999999993","-0.00193963","0.00342992","-0.00263323","-0.0932545"
"2","-0.010399999999999993","-0.00309197","0.00366573","-0.00173091","-0.0901911"
"0","-0.010499999999999992","-0.000540703","0.00429907","-0.00367976","-0.0954253"
"0","-0.010599999999999991","-0.00201296","0.0039767","-0.00154819","-0.0874659"
"2","-0.01069999999999999","-0.00119214","0.00352273","-0.00172892","-0.0923372"
"1","-0.01079999999999999","-0.00178037","0.00435001","-0.001934","-0.0902133"
"0","-0.01089999999999999","-0.00281484","0.00327543","-5.69415e-05","-0.090169"
"2","-0.010999999999999989","-0.000563734","0.00462375","-0.00283244","-0.0907178"
"0","-0.011099999999999988","-0.00223445","0.00390679","-0.000440282","-0.0928601"
"0","-0.011199999999999988","-0.00252578","0.00361521","-0.000433576","-0.0908058"
"0","-0.011299999999999987","-0.00155742","0.00343965","-0.000306716","-0.0894037"
"1","-0.011399999999999987","-0.00190489","0.00366508","0.000518078","-0.091243"
"1","-0.011499999999999986","-0.00163752","0.00398849","0.000183836","-0.0911439"
"0","-0.011599999999999985","-0.000373067","0.00565073","-0.00228198","-0.0938942"
"2","-0.011699999999999985","-0.000200371","0.000446602","0.000739745","-0.0835138"
"0","-0.011799999999999984","-0.00330091","0.00924132","-0.00271657","-0.0980387"
